Topic_ID,Super_Cluster,Num_Documents,Representative_Words
1,0,679,terapi - psikolog - takut - obat - dokter - mental - sehat - khawatir - tahu - ganggu
13,0,62,mood - ganggu - bipolar - hidup - obat - naik - emosi - hati - suasana - turun
19,0,51,psikolog - terapi - keluarga - nilai - etik - alam - kode - psychological - association - american
24,0,37,otak - skizofrenia - takut - obat - ganggu - mental - genetik - dengar - ngerasa - gejala
0,1,3787,diri - kecil - takut - sendiri - hidup - salah - ngerasa - gagal - laku - kerja
2,1,267,jalan - hidup - kecil - musik - diri - sendiri - ngerasa - capek - dengar - stres
5,1,149,makan - sehat - stres - makan sehat - badan - berat badan - sehat mental - tubuh - pola makan - mental
7,1,138,stres - nyeri - sehat - sakit - tubuh - cemas - laku - takut - kerja - aktivitas
8,1,107,alkohol - rileks - henti - stres - alkohol rileks - jalan - tambah - aktivitas - sehat - ngatasin
12,1,67,olahraga - jalan - sehat - depresi - diri - laku - aktivitas - kurang - tahu - stres
25,1,51,motivasi - kecil - semangat - tuju - diri - jalan - hidup - butuh - salah - sendiri
4,2,200,anak - sekolah - gadget - anak anak - main - masa - masa kecil - puji - salah - kecil
9,2,114,medsos - takut - diri - temen - sosial - konten - dukung - grup - media - komen
10,2,120,keluarga - dukung - stres - temen - ngerasa - salah - nikah - sepi - sendiri - mental
15,2,68,kerja - hidup - uang - keluarga - stres - kecil - ngerasa - mental - miskin - susah
20,3,45,trauma - takut - hidup - kecil - sendiri - terus - cemas - masa - ngerasa - berat
21,3,37,bunuh diri - bunuh - krisis - hotline - hotline krisis - denger - sedih denger - sedih - denger ngerasa - profesional
16,4,49,mimpi - kecil - takut - diri - tuju - masa - hidup - arti - ngerasa - sendiri
17,4,51,kreatif - bakat - diri - imajinasi - kreativitas - potensi - kecil - perlu - tahu - kembang
23,5,30,rokok - henti - sehat - remaja - sehat mental - stres - mental - kurang - anak - cemas
11,6,103,takut - diri - hakim - sendiri - ngerasa - judge - cemas - nyaman - salah - tahu
22,6,67,salah - diri - maaf - sendiri - kecil - minta - malu - bukan - masa - jujur
18,7,41,cuci - tangan - kuman - mandi - pintu - kompulsif - obsesif kompulsif - ganggu obsesif - obsesif - takut
3,8,211,tidur - susah tidur - susah - meditasi - tidur tidur - tenang - relaksasi - atur - ganggu - nyenyak
6,9,169,otak - lupa - ingat - kecil - ulang - susah - simpan - materi - lama - kenang
14,9,78,otak - salah - perhati - kecil - ngerasa - garis - pelan - notice - ilusi - gampang
