file;generator;question;answer;score_entailment;score_neutral;score_contradiction;score_final
Seni Menyiksa Diri x Febriawan Jauhari-18-28;grok;Kenapa aku selalu merasa orang lain itu pamer kalau cerita tentang kebahagiaan mereka di media sosial?;Mungkin bukan mereka yang pamer, tapi kita yang sedang melihat dari kaca yang kotor. Kadang, hati kita dipenuhi rasa iri atau kurang percaya diri, jadi apa yang orang lain bagikan terasa seperti menyombongkan diri. Coba kita bersihkan dulu ‘jendela’ kita dengan melihat niat baik mereka, mungkin mereka hanya ingin berbagi kebahagiaan.;0.9014;0.1721;0.8453;0.0561
Seni Menyiksa Diri x Febriawan Jauhari-18-28;grok;Aku sering banget menilai orang lain buruk, apa aku orang yang jahat?;Bukan berarti kamu jahat, tapi mungkin kamu sedang terjebak dalam pola pikir yang membuatmu cepat menilai. Kadang, kita melihat kekurangan orang lain karena kita merasa insecure atau ada sesuatu di dalam diri kita yang belum kita terima. Coba fokus pada hal-hal baik di sekitarmu, dan pelan-pelan belajar untuk memahami sudut pandang orang lain.;0.7113;0.2207;0.7186;-0.0073
Seni Menyiksa Diri x Febriawan Jauhari-18-28;grok;Aku merasa hidup orang lain selalu lebih baik dari aku, apa yang salah denganku?;Nggak ada yang salah denganmu. Kadang, kita cuma melihat ‘jemuran bersih’ orang lain dari jauh, tapi kita nggak tahu cerita di baliknya. Hidup setiap orang punya tantangannya masing-masing. Coba fokus pada hal-hal kecil yang kamu syukuri setiap hari, itu bisa bantu kamu melihat keindahan dalam hidupmu sendiri.;0.6792;0.1889;0.876;-0.1968
Seni Menyiksa Diri x Febriawan Jauhari-18-28;grok;Kenapa aku susah banget nerima kalau orang lain bahagia?;Mungkin ada rasa iri atau sedih di dalam hati yang bikin kamu susah menerima kebahagiaan orang lain. Itu wajar, kok, kita semua pernah merasa begitu. Coba tanya ke diri sendiri, apa yang bikin kamu merasa kurang? Dari situ, kamu bisa mulai membangun rasa damai dengan dirimu sendiri, jadi kebahagiaan orang lain nggak lagi bikin kamu tersakiti.;0.8841;0.1826;0.7217;0.1624
Seni Menyiksa Diri x Febriawan Jauhari-18-28;grok;Aku merasa hidupku nggak pernah cukup dibandingkan orang lain, apa yang harus aku lakukan?;Perasaan itu bisa muncul karena kita sering membandingkan diri dengan orang lain. Padahal, setiap orang punya perjalanan hidup yang unik. Coba buat daftar hal-hal yang kamu sukai tentang dirimu atau yang sudah kamu capai, sekecil apa pun. Itu bisa bantu kamu menghargai dirimu sendiri dan nggak terus-terusan membandingkan.;0.9101;0.1619;0.3049;0.6052
Seni Menyiksa Diri x Febriawan Jauhari-18-28;grok;Aku merasa masalah hidupku bikin aku jauh dari Tuhan, kenapa gitu?;Justru masalah itu bisa jadi cara Tuhan mengingatkan kita untuk kembali dekat dengan-Nya. Kadang, kita terlalu nyaman dalam rutinitas atau lupa bersyukur, dan masalah itu seperti ‘gedoran pintu’ yang membangunkan kita. Coba manfaatkan momen ini untuk berdoa lebih khusyuk atau merenung, kamu mungkin akan menemukan kedamaian di tengah tantangan.;0.7776;0.3268;0.701;0.0767
Seni Menyiksa Diri x Febriawan Jauhari-18-28;grok;Aku benci banget sama masalah hidupku, tapi kenapa aku juga merasa bersyukur karenanya?;Itu pertanda kamu sedang tumbuh! Masalah memang berat, tapi mereka juga bisa jadi berkah tersembunyi. Mereka bikin kita lebih kuat, lebih peka, dan kadang membawa kita lebih dekat ke doa-doa yang dalam. Wajar kalau kamu benci, tapi rasa syukur itu menunjukkan kamu mulai melihat sisi baik dari tantangan hidup.;0.8765;0.2061;0.6027;0.2738
Seni Menyiksa Diri x Febriawan Jauhari-18-28;grok;Kenapa setiap ada masalah, aku merasa kayak anak kecil yang takut banget?;Itu karena masalah kadang bikin kita merasa nggak berdaya, seperti anak kecil yang sedang mimpi buruk. Tapi seperti anak yang dibangunkan ibunya, masalah itu bisa jadi cara hidup untuk ‘membangunkan’ kita dari kenyamanan atau kelalaian. Coba hadapi satu per satu dengan sabar, dan ingat kamu nggak sendirian menghadapinya.;0.6482;0.2249;0.6576;-0.0094
Seni Menyiksa Diri x Febriawan Jauhari-18-28;grok;Aku merasa doaku lebih khusyuk pas lagi ada masalah, itu normal nggak sih?;Sangat normal! Kadang, masalah itu seperti pengingat yang bikin kita lebih serius dalam berdoa dan merenung. Saat hidup terasa berat, kita jadi lebih mudah terhubung dengan hati kita dan dengan Tuhan. Coba bawa rasa khusyuk itu ke hari-hari biasa juga, misalnya dengan menyisihkan waktu untuk berdoa singkat setiap hari.;0.5311;0.1709;0.7712;-0.2401
Seni Menyiksa Diri x Febriawan Jauhari-18-28;grok;Aku merasa hidupku kayak mimpi buruk, apa aku salah jalan?;Nggak ada jalan yang benar-benar salah, hanya ada pelajaran di setiap langkah. Kalau hidup terasa seperti mimpi buruk, mungkin ini saatnya kamu ‘bangun’ dan melihat apa yang bisa kamu ubah. Coba renungkan, apa yang bikin kamu merasa terjebak? Dari situ, kamu bisa mulai melangkah ke arah yang lebih baik, pelan-pelan.;0.727;0.2142;0.7583;-0.0313
