file;generator;question;answer;score_entailment;score_neutral;score_contradiction;score_final
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku merasa gagal karena tidak bisa memenuhi ekspektasi orang lain. Apa yang bisa aku lakukan?;Kamu tidak perlu memenuhi ekspektasi semua orang, lho. Coba fokus pada apa yang benar-benar penting buat dirimu sendiri. Mengenali kapasitas dirimu adalah langkah awal untuk berdamai dengan diri sendiri. Apa sih yang menurutmu paling berarti untuk kamu capai sekarang?;0.875;0.244;0.348;0.527
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Kenapa aku selalu merasa kurang dibandingkan orang lain?;Perasaan itu wajar, tapi coba ingat bahwa setiap orang punya keunikan masing-masing. Membandingkan diri dengan orang lain hanya bikin kamu lupa sama kelebihanmu sendiri. Apa satu hal yang kamu suka dari dirimu hari ini?;0.9581;0.2406;0.4669;0.4912
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku sering merasa nggak cukup cantik atau ganteng. Gimana cara aku menerima diri sendiri?;Cantik atau ganteng itu relatif, dan nggak ada standar yang benar-benar sama untuk semua orang. Kalau kamu merasa nggak cukup, coba lihat dirimu dari sudut pandang yang berbeda. Apa satu fitur atau sifat di dirimu yang bikin kamu merasa bangga?;0.9181;0.2331;0.1598;0.7582
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku takut dianggap ketinggalan zaman kalau nggak ikut tren. Apa aku harus berubah?;Nggak perlu memaksakan diri untuk ikut tren kalau itu bikin kamu nggak nyaman. Hidup itu bukan tentang mengejar apa yang orang lain anggap keren, tapi tentang menemukan apa yang bikin kamu bahagia. Apa sih yang bikin kamu merasa paling autentik?;0.8689;0.2873;0.3965;0.4724
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku merasa capek banget mengejar sesuatu yang sepertinya nggak pernah cukup. Apa yang salah?;Mungkin kamu sedang terjebak dalam pola pikir yang mengejar sesuatu yang nggak ada habisnya. Coba tarik napas dalam-dalam, lalu tanya pada dirimu: apa yang benar-benar kamu butuhkan untuk merasa cukup? Kadang, bersyukur atas apa yang sudah ada bisa bikin hati lebih ringan.;0.9316;0.1722;0.6845;0.247
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku sering ngerasa bersalah kalau nggak bisa bikin semua orang senang. Gimana caranya aku lepas dari ini?;Kamu nggak bertanggung jawab atas kebahagiaan semua orang, kok. Yang terpenting adalah kamu berusaha jadi versi terbaik dari dirimu. Coba mulai dengan menetapkan batasan kecil, misalnya bilang ‘tidak’ kalau kamu merasa terlalu terbebani. Apa situasi yang lagi bikin kamu merasa bersalah?;0.9338;0.2709;0.1474;0.7864
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku merasa orang lain selalu lebih baik dari aku. Ini bikin aku nggak percaya diri. Apa yang harus aku lakukan?;Setiap orang punya kelebihan dan kekurangan, termasuk kamu. Coba tulis tiga hal yang kamu banggakan dari dirimu, sekecil apa pun itu. Itu bisa jadi pengingat bahwa kamu juga punya nilai yang nggak dimiliki orang lain. Mau coba ceritain satu kelebihanmu ke aku?;0.9411;0.1914;0.4962;0.4449
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku takut dikira jelek kalau nggak ikut standar kecantikan yang ada di media. Apa aku salah?;Kamu nggak salah, tapi media sering menunjukkan standar yang nggak realistis. Kecantikan itu nggak cuma soal penampilan, tapi juga tentang bagaimana kamu merasa nyaman dengan dirimu sendiri. Apa satu hal yang bikin kamu merasa cantik atau spesial dari dalam?;0.9258;0.3712;0.2256;0.7001
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku merasa hidupku nggak berarti kalau nggak punya barang-barang mewah. Gimana caranya aku berhenti merasa begini?;Barang mewah nggak menentukan makna hidupmu, kok. Coba pikirkan momen-momen kecil yang bikin kamu bahagia, seperti waktu bareng keluarga atau hobi yang kamu suka. Apa satu momen sederhana yang bikin kamu tersenyum akhir-akhir ini?;0.8554;0.1822;0.5211;0.3343
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku sering ngerasa stres karena merasa harus sempurna. Apa yang bisa aku lakukan biar nggak begini?;Perfeksionisme bisa bikin capek, ya. Coba terima bahwa nggak apa-apa punya kekurangan, karena itu bagian dari jadi manusia. Mulai dengan merayakan langkah kecil yang kamu capai. Apa satu hal kecil yang kamu berhasil lakukan hari ini?;0.894;0.1482;0.5744;0.3196
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku merasa nggak layak dicintai karena kekuranganku. Gimana caranya aku mengatasi perasaan ini?;Kamu layak dicintai apa adanya, dengan semua kelebihan dan kekuranganmu. Coba mulai dengan mencintai dirimu sendiri dulu, misalnya dengan menulis satu hal yang kamu syukuri dari dirimu setiap hari. Apa yang bisa kamu coba untuk menghargai dirimu lebih?;0.8882;0.2407;0.4723;0.4159
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku takut gagal kalau mencoba sesuatu yang baru. Apa yang harus aku lakukan?;Takut gagal itu wajar, tapi gagal adalah bagian dari belajar. Coba mulai dengan langkah kecil dan ingat bahwa setiap usaha adalah kemajuan. Apa satu hal baru yang pengen kamu coba, dan apa langkah pertama yang bisa kamu ambil?;0.803;0.1734;0.5816;0.2214
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku merasa nggak punya tujuan hidup yang jelas. Gimana caranya aku menemukan makna hidup?;Mencari tujuan hidup itu proses, dan nggak apa-apa kalau kamu belum menemukannya. Coba eksplor apa yang bikin kamu penasaran atau bahagia, meski itu hal kecil. Apa satu aktivitas yang bikin kamu merasa hidup akhir-akhir ini?;0.9007;0.2667;0.3319;0.5687
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku sering ngerasa kesepian meskipun ada orang di sekitarku. Apa yang bisa aku lakukan?;Kesepian kadang bukan soal orang di sekitar, tapi bagaimana kamu merasa terhubung dengan diri sendiri. Coba luangkan waktu untuk melakukan sesuatu yang kamu nikmati, seperti menulis atau jalan-jalan. Apa satu hal yang bisa kamu lakukan untuk bikin dirimu merasa lebih nyaman?;0.9295;0.2946;0.4992;0.4304
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku merasa orang lain nggak menghargai aku. Gimana caranya aku tetap percaya diri?;Nilai dirimu nggak ditentukan oleh apa yang orang lain pikirkan, tapi oleh bagaimana kamu melihat dirimu sendiri. Coba fokus pada hal-hal yang bikin kamu bangga, dan ingat bahwa kamu berharga apa adanya. Apa satu pencapaian yang bikin kamu merasa kuat?;0.8968;0.2571;0.4434;0.4535
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku sering ngerasa bersalah atas kesalahan masa lalu. Gimana caranya aku move on?;Kesalahan masa lalu adalah bagian dari perjalanan, dan mereka nggak mendefinisikan siapa kamu sekarang. Coba maafkan dirimu dengan menulis surat untuk dirimu sendiri tentang apa yang kamu pelajari dari situasi itu. Apa satu pelajaran berharga yang kamu dapat dari masa lalu?;0.9432;0.1139;0.2214;0.7218
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku merasa dunia ini penuh dengan standar yang nggak bisa aku ikuti. Apa yang harus aku lakukan?;Dunia memang penuh dengan tekanan, tapi kamu nggak harus mengikuti semua standar itu. Coba buat ‘standar’ mu sendiri berdasarkan apa yang bikin kamu bahagia dan merasa utuh. Apa satu nilai atau prinsip yang penting buatmu?;0.7231;0.2656;0.5716;0.1515
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku takut orang lain menilai aku buruk karena penampilanku. Gimana caranya aku nggak peduli sama omongan orang?;Omongan orang kadang sulit dihindari, tapi kamu bisa melatih diri untuk fokus pada apa yang kamu pikirkan tentang dirimu sendiri. Coba afirmasi positif setiap hari, seperti ‘Aku cukup apa adanya.’ Apa satu kalimat positif yang bisa kamu ucapkan ke diri sendiri sekarang?;0.9391;0.1367;0.1633;0.7758
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku merasa hidupku nggak akan pernah cukup baik. Apa yang bisa aku ubah dari pola pikirku?;Coba latih diri untuk bersyukur atas hal-hal kecil dalam hidupmu, karena itu bisa mengubah cara kamu melihat dunia. Mulai dengan menulis tiga hal yang kamu syukuri setiap hari. Apa satu hal yang kamu syukuri hari ini?;0.9267;0.1165;0.7127;0.214
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-10-20;grok;Aku sering ngerasa nggak punya kontrol atas hidupku. Gimana caranya aku merasa lebih kuat?;Kamu punya lebih banyak kontrol daripada yang kamu pikirkan, lho. Coba ambil satu keputusan kecil yang bisa bikin kamu merasa lebih berdaya, seperti merapikan meja atau mencoba hobi baru. Apa satu langkah kecil yang bisa kamu ambil hari ini?;0.8962;0.2491;0.4543;0.4419
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-109-119;grok;Aku sering merasa nggak percaya diri karena merasa nggak sehebat orang lain, apa yang bisa aku lakukan?;Wah, aku ngerti banget perasaan itu. Coba deh, fokus ke kelebihan yang kamu punya. Setiap orang punya potensi unik, lho. Mungkin kamu bisa mulai dengan mencatat hal-hal kecil yang kamu banggakan dari diri sendiri, seperti kebaikan hati atau ketekunanmu. Itu langkah awal untuk menghargai diri sendiri!;0.9221;0.1264;0.5157;0.4064
Berdamai Dengan Diri Sendiri x Muthia Sayekti (2017)-109-119;grok;Kenapa ya aku susah banget melupain masa lalu yang bikin aku sedih?;Masa lalu memang bisa terasa berat, ya. Tapi, coba alihkan pandanganmu ke sekarang. Bukan berarti melupain, tapi lebih ke menerima bahwa itu bagian dari perjalananmu. Mungkin kamu bisa coba menulis apa yang kamu rasakan, itu bisa bantu merapikan pikiran dan bikin hati lebih ringan.;0.8336;0.3092;0.5055;0.3281
