index;question;document;old_topic;new_topic;similarity;reassigned;stage
4;Langkah pertama menata ulang hidup setelah kesalahan apa?;pertama tata ulang hidup salah simpel tidur cukup atur tuju kecil capai minggu ubah kecil beri otak gerak maju salah makin kecil;-1;3;0.81075835;TRUE;high
5;Apa sebenarnya rumination itu?;rumination rumination kunyah ulang ulang timbul stres tambah tonton ulang film sedih tombol henti george slavich sebut cognitive looping hambat masuk;-1;6;0.65142775;TRUE;medium
8;Apa itu memvalidasi pikiran sendiri?;memvalidasi sendiri data dukung tolak yakin gagal bukti kuat ubah versi realistis sehat dialog internal;-1;-1;0.5599923;FALSE;rejected
9;Apakah distraksi berarti lari dari masalah?;distraksi arti lari bukan distraksi jeda rencana emosi reda analisis rasional laku ibarat tepi mobil panas kendara;-1;25;0.7427941;TRUE;medium
13;Bagaimana tidak melampiaskan stres ke teman?;lampias stres teman atur emosi tunda obrol penting jurnal teman turun risiko kata kata impulsif;-1;0;0.65788203;TRUE;medium
16;Kenapa aku malas mencoba lagi setelah jatuh?;malas jatuh gagal cipta ilusi hasil alternatif strategi konkret fakta patah ilusi pancing aksi;-1;-1;0.6272658;FALSE;rejected
17;Bagaimana cara efektif meminta bantuan?;efektif minta ungkap butuh spesifik butuh teman brainstorming rencana ulang riset heidi grant halvorson tunjuk minta rinci penuh;-1;-1;0.5674543;FALSE;rejected
18;Apa saja contoh faktor yang bisa kukendalikan?;contoh faktor kendali jumlah mentor target minggu tangan kutak atik efektif ketimbang ratap nilai;-1;-1;0.54051566;FALSE;rejected
19;Bagaimana memecah tujuan besar agar realistis?;pecah tuju realistis metode smart specific measurable achievable relevant time bound evaluated rewarded target tenggat hadiah kecil capai;-1;-1;0.40422967;FALSE;rejected
20;Kenapa tertawa membantu setelah gagal?;tertawa gagal tawa turun hormon stres dopamin reward viktor frankl bahkan masuk humor strategi tahan mental;-1;-1;0.58603656;FALSE;rejected
21;Latihan praktis apa untuk mengalihkan tekanan?;praktis tekan teknik sebut dengar cium sensasi tubuh geser evaluasi diri alam indrawi;-1;14;0.6514205;TRUE;medium
26;Contoh kalimat asertif saat menolak ajakan?;contoh asertif tolak terima perlu istirahat singkat jelas sopan alas tele tele;-1;0;0.7272055;TRUE;medium
27;Latihan apa yang efektif meningkatkan self-control?;efektif tingkat self control meditasi mindfulness bukti tebal gray matter prefrontal cortex turut sara lazar;-1;-1;0.5695265;FALSE;rejected
32;Bagaimana bedakan curhat tulus dan sekadar cari perhatian?;curhat tulus sekadar perhati tuju bila dengar solusi valid ulang ubah timbang bicara profesional;-1;1;0.65665394;TRUE;medium
35;Mengapa sukses tidak selalu wajib?;sukses wajib tuju hidup tumbuh relasi kontribusi wakil angka sukses konvensional carol dweck tekan penting growth mindset;-1;-1;0.45991945;FALSE;rejected
36;Kenapa sukses terasa lebih nikmat setelah jatuh?;sukses nikmat jatuh kontras alam picu lepas dopamin target capai menang earned;-1;-1;0.5836091;FALSE;rejected
40;Bagaimana menghentikan drama internal?;henti drama internal time worry beri khusus khawatir diri aktivitas fisik batas terus lebar;-1;7;0.7055137;TRUE;medium
44;Bagaimana melihat pujian tanpa beban performa?;puji beban performa puji refleksi butuh beri ekspresi apresiasi paham terima puji jebak perfeksionisme;-1;0;0.65068686;TRUE;medium
45;Bagaimana merespons pujian yang terasa lebay?;respons puji lebay balas senang manfaat terima cakap proses bukan sosok redam canggung;-1;0;0.71797544;TRUE;medium
46;Bagaimana belajar kendali diri dari orang lain?;kendali diri role model hadap situasi rupa strategi adaptasi observational learning albert bandura efektif hemat;-1;-1;0.4650262;FALSE;rejected
47;Kenapa penting memasang deadline konkret?;penting pasang deadline konkret deadline sense urgency panik hukum parkinson kata kerja kembang sesuai sedia tenggat cegah;-1;-1;0.45726335;FALSE;rejected
52;Aku merasa kesepian di SMP dulu. Apa dampaknya sekarang?;sepi dampak alam remaja bentuk percaya teman luka sembuh intim hangat relasi dewasa lambat;-1;-1;0.6171181;FALSE;rejected
53;Apakah teori ini relevan bagi orang yang juga merasa terasing?;teori relevan asing justru relevan sullivan tunjuk sendiri paham relasi suportif sendiri;-1;-1;0.5256168;FALSE;rejected
55;Kenapa kebiasaan ngemil bisa sulit diubah?;ngemil sulit ubah dinamisme pola otomatis pecah tegang perlu pola hangat stres;-1;5;0.6731913;TRUE;medium
56;Aku sering merasa ‘haus pelukan’. Apakah itu kebutuhan interpersonal?;haus peluk butuh interpersonal sentuh hangat reda tegang emosional minta peluk detik percaya hormon oksitosin tenang;-1;-1;0.48606986;FALSE;rejected
57;Bagaimana mencegah diriku jadi apatis ketika terus kecewa?;cegah diri apatis terus kecewa kecewa pecah tuju kecil realistis hasil mini beri harap cegah mati;-1;0;0.8038815;TRUE;high
60;Aku mudah menilai orang ‘baik’ atau ‘jahat’. Bagaimana menyeimbangkannya?;mudah nilai jahat imbang ingat campur tantang diri kualitas positif label jahat sehat relasi;-1;0;0.6683991;TRUE;medium
61;Saat dikritik, aku otomatis defensif. Apakah self‑system sedang aktif?;kritik otomatis defensif self sedang betul jeda jenak detail kritik jelas self perlu serang balik;-1;-1;0.61746764;FALSE;rejected
64;Bisakah selective inattention digunakan positif?;selective inattention positif abai komentar negatif anonim kunci pilih bukan reflek tekan emosi penting;-1;9;0.68725574;TRUE;medium
68;Apakah mindfulness membantu menjaga mode sintaksis?;mindfulness jaga mode sintaksis hadir penuh proses data faktual bukan prasangka otomatis mindful breathing manfaat;-1;-1;0.57811755;FALSE;rejected
72;Anak saya suka bermain peran dokter. Baikkah untuk perkembangan?;anak main peran dokter kembang dramatisasi empati bahasa kenal landas relasi sehat masa depan;-1;-1;0.6109755;FALSE;rejected
78;Bagaimana mengurangi rasa sepi kronis?;kurang sepi kronis interaksi singkat sapa barista grup positif relasi perlahan;-1;-1;0.60666746;FALSE;rejected
