index,question,document,old_topic,new_topic,similarity,reassigned,stage
0,Apa itu memvalidasi pikiran sendiri?,memvalidasi sendiri data dukung tolak yakin gagal bukti kuat ubah versi realistis sehat dialog internal,-1,-1,0.56278574,False,rejected
1,Kenapa aku malas mencoba lagi setelah jatuh?,malas jatuh gagal cipta ilusi hasil alternatif strategi konkret fakta patah ilusi pancing aksi,-1,9,0.66529,True,medium
2,Bagaimana cara efektif meminta bantuan?,efektif minta ungkap butuh spesifik butuh teman brainstorming rencana ulang riset heidi grant halvorson tunjuk minta rinci penuh,-1,-1,0.5712943,False,rejected
3,Apa saja contoh faktor yang bisa kukendalikan?,contoh faktor kendali jumlah mentor target minggu tangan kutak atik efektif ketimbang ratap nilai,-1,-1,0.48358527,False,rejected
5,Kenapa tertawa membantu setelah gagal?,tertawa gagal tawa turun hormon stres dopamin reward viktor frankl bahkan masuk humor strategi tahan mental,-1,-1,0.6092962,False,rejected
7,Mengapa sukses tidak selalu wajib?,sukses wajib tuju hidup tumbuh relasi kontribusi wakil angka sukses konvensional carol dweck tekan penting growth mindset,-1,-1,0.41536498,False,rejected
9,Bagaimana belajar kendali diri dari orang lain?,kendali diri role model hadap situasi rupa strategi adaptasi observational learning albert bandura efektif hemat,-1,-1,0.4983639,False,rejected
14,"Saat dikritik, aku otomatis defensif. Apakah self‑system sedang aktif?",kritik otomatis defensif self sedang betul jeda jenak detail kritik jelas self perlu serang balik,-1,-1,0.5661919,False,rejected
22,Aku sering merasa tidak layak dicintai. Bagaimana membuka diri pada intimasi?,layak cinta diri intimasi beri diri kualitas positif kecil teman percaya intimasi tumbuh lewat jujur tahap,-1,-1,0.62805927,False,rejected
24,"Mana yang lebih kuat membentuk diriku, gen atau lingkungan?",kuat bentuk diri kolaborasi siap alat hasil akhir versi diri unik,-1,-1,0.6205409,False,rejected
25,"Usiaku sudah 40‑an, terlambatkah mengubah sifat perfeksionis berlebihan?",usia lambat ubah sifat perfeksionis lambat otak tetap plastis mindful self compassion arah perfeksionisme standar sehat bukan beban,-1,-1,0.5630692,False,rejected
29,Kenapa aku suka impulsif belanja online tengah malam?,impulsif belanja tengah senang cepat tunda klik lama beri ruang nilai barang perlu,-1,-1,0.602077,False,rejected
30,Bagaimana menggali isi alam bawah sadarku secara sehat?,gali alam bawah sehat journaling bebas terapi bicara singkap pola sembunyi kelola,-1,1,0.68418944,True,medium
35,Aku sulit menolak permintaan teman. Bagaimana belajar assertive?,sulit tolak minta teman assertive singkat maaf ingat kata arti ruang prioritas,-1,35,0.66549027,True,medium
36,Berapa lama membentuk kebiasaan optimis?,berapa lama bentuk optimis studi tunjuk rata rata afirmasi pagi syukur evaluasi maju bulan,-1,-1,0.44045794,False,rejected
37,Aku ingin lebih disiplin tapi teman kurang mendukung. Apa solusinya?,disiplin teman kurang dukung solusi tuju rupa dukung sosial selaras nilai kuat tekad jalan ubah,-1,14,0.6984995,True,medium
38,Aku sering berpikir ‘semua harus sempurna’. Bagaimana mengubahnya?,sempurna ubah tantang cukup maju ulang turun tekan perfeksionis,-1,-1,0.55453515,False,rejected
41,Apa langkah praktis menuju aktualisasi diri?,praktis tuju aktualisasi diri kenal bakat refleksi feedback tantang diri proyek luar zona nyaman raya progres bukan sempurna,-1,15,0.70276415,True,medium
