file;generator;question;answer;score_entailment;score_neutral;score_contradiction;score_final
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Aku baru saja ditolak seseorang yang aku suka, rasanya sakit banget. Apa yang bisa aku lakukan?;Aku tahu rasanya pasti berat, seperti ada luka yang tak terlihat. Pertama, coba beri dirimu waktu untuk merasakan emosi itu, tapi jangan terlalu lama terjebak. Tulis tiga hal yang kamu suka dari dirimu, seperti kebaikan atau bakatmu, untuk mengingatkan bahwa kamu berharga. Kalau ada pikiran negatif, coba lawan dengan fakta positif tentang dirimu. Mungkin juga ajak teman ngobrol atau lakukan aktivitas yang kamu nikmati, seperti nonton film favorit. Langkah kecil ini bisa membantu kamu perlahan merasa lebih baik.;0.878;0.2453;0.2584;0.6197
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Kenapa ditolak rasanya seperti dunia runtuh? Apa ini normal?;Sangat normal kalau kamu merasa begitu. Otak kita memang dirancang untuk bereaksi kuat terhadap penolakan, karena dulu itu bisa berarti kehilangan sesuatu yang penting untuk bertahan hidup. Sekarang, coba ingat bahwa penolakan ini tidak mendefinisikan nilai dirimu. Lakukan sesuatu yang menenangkan, seperti jalan-jalan atau dengar musik. Kalau bisa, ceritakan perasaanmu ke seseorang yang kamu percaya—itu bisa bikin bebanmu lebih ringan.;0.8681;0.2834;0.5313;0.3368
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Aku sering merasa nggak cukup baik setelah ditolak. Gimana cara menghentikan pikiran negatif ini?;Pikiran negatif itu bisa keras, ya. Coba ambil kertas, tulis apa yang kamu kritik dari dirimu, misalnya 'Aku nggak menarik.' Lalu, lawan setiap kritik dengan fakta, seperti 'Aku punya temen yang selalu bilang aku asyik.' Ini membantu kamu melihat dirimu lebih adil. Kalau masih sulit, coba lakukan sesuatu yang kamu kuasai, seperti memasak atau menggambar, untuk mengingatkan bahwa kamu punya banyak kelebihan.;0.8907;0.2179;0.2365;0.6542
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Setelah ditolak, aku kehilangan rasa percaya diri. Bagaimana cara membangunnya lagi?;Wajar kalau rasa percaya dirimu goyah setelah ditolak. Coba duduk sejenak dan tulis tiga hal yang kamu banggakan dari dirimu, seperti kemampuanmu mendengarkan orang lain atau kerja kerasmu. Kalau susah, ingat momen ketika kamu merasa berhasil. Lakukan juga aktivitas yang membuatmu merasa kompeten, seperti olahraga atau menulis. Sedikit demi sedikit, kamu akan ingat bahwa kamu punya banyak hal hebat.;0.7779;0.3344;0.3008;0.4771
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Aku merasa sendiri setelah ditolak. Gimana caranya merasa terhubung lagi?;Rasanya pasti berat kalau merasa sendirian. Coba hubungi teman atau keluarga yang selalu bikin kamu nyaman, ajak ngobrol tentang apa saja—nggak harus soal penolakan. Kadang, sekadar mendengar suara mereka udah bikin hati lebih hangat. Kalau nggak punya siapa-siapa, coba ikut komunitas kecil, seperti grup hobi online. Langkah kecil ini bisa membantu kamu merasa nggak sendirian lagi.;0.8002;0.1734;0.3627;0.4375
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Aku takut ditolak lagi di masa depan. Gimana biar nggak terlalu takut?;Takut ditolak lagi itu wajar, tapi kamu bisa melatih diri untuk lebih kuat. Ingat bahwa penolakan bukan cerminan dirimu, tapi lebih tentang situasi. Coba hadapi penolakan kecil, seperti mengajak temen nongkrong dan kalau ditolak, anggap itu latihan. Setelah ditolak, alihkan energi ke hal yang kamu suka, seperti main game atau jalan-jalan. Semakin sering kamu merelakan, semakin mudah nantinya.;0.8292;0.2691;0.3543;0.4749
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Aku punya banyak temen, tapi tetap kesepian. Apa yang salah sama aku?;Nggak ada yang salah sama kamu. Kesepian bisa datang kalau hubungan yang kita punya belum terasa mendalam. Coba pilih satu atau dua temen yang kamu percaya, lalu ajak ngobrol tentang sesuatu yang lebih personal, seperti mimpi atau kekhawatiranmu. Membuka diri sedikit demi sedikit bisa bikin hubungan lebih erat. Kalau suka, ajak mereka lakuin sesuatu bareng, seperti nonton atau masak, biar ada momen yang bikin kalian lebih dekat.;0.8877;0.1753;0.6176;0.2701
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Aku merasa kesepian akhir-akhir ini, dan takut ini memengaruhi orang lain. Apa yang bisa aku lakukan?;Kamu hebat karena peduli sama orang di sekitarmu meski lagi merasa kesepian. Coba mulai dengan langkah kecil, seperti kirim pesan ke temen atau keluarga untuk menyapa. Kalau bisa, ikut kegiatan yang kamu suka, seperti kelas seni atau komunitas buku, untuk ketemu orang baru. Bahkan ngobrol ringan sama orang di sekitar bisa bikin kamu merasa lebih terhubung. Kamu nggak sendirian, dan langkah kecil ini bisa bikin perubahan.;0.8477;0.1535;0.6212;0.2265
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Aku kesepian, tapi susah buka diri ke orang lain. Gimana cara memulainya?;Membuka diri memang nggak gampang, apalagi kalau lagi kesepian. Mulai dari yang kecil aja, seperti ngobrol sama seseorang tentang hal ringan, misalnya film yang baru kamu tonton. Kalau merasa takut, ingat bahwa orang lain juga sering merasa gugup. Coba ceritain satu hal kecil tentang harimu ke temen, dan lihat respons mereka. Sedikit demi sedikit, kamu akan merasa lebih nyaman untuk terbuka. Kamu lebih kuat dari yang kamu pikir.;0.7911;0.1552;0.296;0.4951
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Aku pengen hubungan yang lebih dekat sama orang lain, tapi selalu gagal. Apa yang harus aku lakukan?;Keinginanmu untuk hubungan yang lebih erat itu udah langkah besar. Coba luangin waktu buat refleksi—apa yang bikin kamu menjauh dari orang lain? Mungkin takut disakiti atau merasa nggak cukup baik. Setelah tahu polanya, coba lakuin satu tindakan kecil, seperti ngajak temen ngopi dan dengerin cerita mereka dengan penuh perhatian. Hubungan yang erat butuh waktu, tapi kamu pasti bisa membangunnya.;0.8827;0.2398;0.204;0.6787
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Aku sering kesepian, tapi takut perasaanku ini nggak valid. Gimana cara menghadapinya?;Perasaanmu sangat valid, dan kamu berhak merasakan apa yang kamu rasakan. Kesepian itu nyata, dan nggak apa-apa untuk mengakuinya. Coba tulis apa yang kamu rasakan di buku atau catatan, lalu ingatkan diri bahwa ini cuma sementara. Setelah itu, lakuin sesuatu yang bikin kamu senang, seperti jalan-jalan atau denger musik. Kalau siap, hubungi seseorang untuk ngobrol—langkah kecil ini bisa bikin hati lebih ringan.;0.7633;0.3278;0.6476;0.1156
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Aku pengen lebih dekat sama temen, tapi susah memahami mereka. Gimana caranya?;Membangun kedekatan memang butuh usaha, tapi kamu udah di jalur yang bener. Coba dengarkan cerita temenmu dengan penuh perhatian, dan bayangin dirimu di posisi mereka—misalnya, kalau mereka cerita tentang hari yang berat, pikirkan gimana rasanya. Kalau mereka lagi cerita, tanyain sesuatu seperti, 'Gimana perasaanmu waktu itu?' Ini nunjukin kamu peduli, dan mereka akan merasa lebih dekat sama kamu.;0.8488;0.3331;0.3646;0.4842
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Aku kesepian, tapi susah ketemu orang baru. Ada saran?;Ketemu orang baru bisa terasa menantang, tapi ada banyak cara untuk mulai. Coba cari komunitas online yang sesuai sama minatmu, seperti grup pecinta film atau hobi masak. Kamu bisa mulai dengan ngomentarin postingan atau ikut diskusi kecil. Kalau lebih nyaman offline, coba ikut acara lokal, seperti workshop atau pameran. Langkah kecil ini bisa membuka pintu buat koneksi baru yang bikin kamu merasa lebih terhubung.;0.7071;0.3152;0.5251;0.182
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Aku baru kehilangan seseorang yang penting, dan rasanya hancur. Apa yang bisa aku lakukan?;Aku turut sedih mendengar kehilanganmu, dan aku tahu ini pasti sangat berat. Rasanya seperti dunia ambruk, dan itu wajar. Coba cari cara yang nyaman buatmu untuk berduka, seperti menulis perasaanmu atau dengar musik yang menenangkan. Beri dirimu waktu untuk merasakan kesedihan, tapi kalau terasa terlalu berat, ceritain ke seseorang yang kamu percaya. Kamu nggak harus hadapi ini sendirian.;0.7548;0.2541;0.2456;0.5092
Emotional_First_Aid_Pertolongan_Pertama-1-22;grok;Sejak kehilangan seseorang, aku nggak bisa fokus sama apa-apa. Gimana cara keluar dari pikiran ini?;Kehilangan bisa bikin segalanya terasa macet, dan itu wajar. Coba mulai dengan rutinitas kecil, seperti jalan pagi atau buat teh hangat, untuk ngasih otakmu jeda dari pikiran berat. Kalau pikiranmu terus kembali ke kehilangan, coba alihkan dengan aktivitas yang menyerap perhatian, seperti menggambar atau nonton serial. Kalau masih sulit, ngobrol sama temen atau keluarga bisa bantu ringanin beban. Sedikit demi sedikit, kamu akan mulai bisa melangkah lagi.;0.8039;0.2125;0.459;0.3449
