file;generator;question;answer;score_entailment;score_neutral;score_contradiction;score_final
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku merasa mataku sering lelah akhir-akhir ini, apa karena aku terlalu lama main gadget ya?;Bisa jadi, lho. Penggunaan gadget yang berlebihan memang sering bikin mata lelah, bahkan bisa menyebabkan gangguan penglihatan. Coba kurangi waktu layar, misalnya istirahat setiap 20 menit dan lihat jauh-jauh. Kamu biasa main gadget berapa jam sehari?;0.704;0.2629;0.6827;0.0213
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Anakku kok susah banget lepas dari gadget, apa ini wajar?;Hmm, itu sebenarnya nggak terlalu wajar kalau sampai susah lepas, apalagi kalau udah mengganggu aktivitas lain. Penggunaan gadget yang nggak terkontrol bisa bikin anak ketergantungan, bahkan memengaruhi kesehatan mental dan sosialnya. Mungkin coba atur batas waktu penggunaan gadget dan ajak dia main di luar atau ngobrol bareng keluarga.;0.8805;0.3417;0.5034;0.3772
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku suka main game di HP sampai lupa waktu, apa itu bahaya?;Wah, kalau sampai lupa waktu, itu bisa jadi sinyal buat lebih hati-hati. Main game berlebihan bisa bikin stres, kurang tidur, bahkan ganggu kesehatan fisik seperti sakit punggung atau obesitas. Coba atur jadwal, misalnya main cuma 1-2 jam sehari, dan sisihkan waktu buat aktivitas lain yang bikin kamu happy.;0.8922;0.3142;0.7393;0.1529
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku merasa cemas kalau nggak pegang HP, ini kenapa ya?;Itu bisa jadi tanda ketergantungan pada gadget, lho. Penggunaan gadget yang berlebihan memang bisa memicu kecemasan atau perilaku impulsif. Coba mulai dengan ninggalin HP di tempat tertentu pas lagi nggak perlu, misalnya saat makan atau sebelum tidur, biar kamu lebih rileks.;0.8366;0.4968;0.5957;0.2409
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Anakku jadi jarang ngobrol sama temennya gara-gara asik sama gadget, apa yang harus aku lakukan?;Sayang banget kalau interaksi sosialnya terganggu. Gadget memang bisa bikin anak lebih fokus ke layar daripada lingkungan sekitar. Coba ajak dia ikut kegiatan yang melibatkan temen-temen, seperti main di taman atau ikut klub olahraga. Juga, batasi waktu gadgetnya supaya dia punya waktu buat ngobrol sama orang lain.;0.9049;0.4928;0.4949;0.41
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku kasih anakku gadget biar dia anteng, apa salah sih?;Bisa dimengerti kalau pengen anak anteng, tapi kasih gadget tanpa batasan itu riskan. Banyak penelitian bilang penggunaan gadget yang nggak diawasi bisa ganggu kesehatan fisik dan mental anak, kayak obesitas atau susah atur emosi. Mungkin coba ganti dengan aktivitas lain, seperti buku cerita atau mainan edukatif, dan atur waktu pakai gadgetnya.;0.9607;0.2506;0.4754;0.4854
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku sering sakit kepala setelah main HP lama, apa ini normal?;Nggak terlalu normal, sih. Sakit kepala bisa jadi salah satu efek dari terlalu lama menatap layar gadget. Coba kurangi durasi pakainya, pastikan cahaya di ruangan nggak terlalu silau, dan atur jarak layar dari mata. Kalau masih sering, mungkin konsultasi ke dokter, ya.;0.7549;0.257;0.8019;-0.047
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Anakku kayaknya susah konsentrasi di sekolah, apa gara-gara gadget?;Bisa jadi salah satu penyebabnya. Penggunaan gadget berlebihan, apalagi kalau main game atau media sosial, bisa bikin anak kehilangan motivasi belajar dan susah fokus. Coba cek berapa lama dia pakai gadget setiap hari, dan ajak diskusi buat bikin aturan waktu layar yang seimbang.;0.9049;0.5737;0.6312;0.2737
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku suka scroll medsos sampe tengah malam, apa itu buruk buatku?;Iya, itu bisa berdampak buruk, lho. Scroll medsos sampai larut malam bisa ganggu pola tidur, bikin stres, dan bahkan memicu kecemasan. Coba set waktu khusus buat medsos, misalnya cuma 30 menit di sore hari, dan matikan notifikasi pas malam biar kamu bisa istirahat dengan tenang.;0.8662;0.2876;0.571;0.2952
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku nggak apa-apa kok main gadget seharian, nggak ada masalah, kan?;Wah, meskipun kelihatannya nggak ada masalah sekarang, main gadget seharian bisa bikin masalah jangka panjang, seperti gangguan mata, kurang gerak, atau bahkan stres. Mending coba seimbangkan dengan aktivitas fisik atau ketemu temen, biar tubuh dan pikiranmu tetap sehat.;0.958;0.3038;0.773;0.1849
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Anakku marah-marah kalau disuruh lepas gadget, apa yang salah?;Itu bisa jadi tanda dia mulai kecanduan gadget. Perilaku agresif sering muncul kalau anak terlalu bergantung pada gadget. Coba dekati perlahan, ajak ngobrol kenapa dia suka banget sama gadget, dan bikin aturan waktu pakai yang jelas. Mungkin juga ajak dia ikut kegiatan yang dia suka di luar gadget.;0.9696;0.5093;0.4911;0.4785
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku merasa anakku kurang aktif gara-gara gadget, apa bener?;Iya, itu mungkin banget. Terlalu lama pakai gadget bisa bikin anak kurang gerak, yang akhirnya bisa menyebabkan obesitas atau masalah kesehatan lain. Coba ajak dia main di luar, seperti sepedaan atau jalan-jalan, biar dia lebih aktif dan sehat.;0.7731;0.3476;0.7376;0.0355
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku kasih anakku HP biar dia belajar online, tapi kok malah main game?;Itu sering terjadi, lho. Gadget memang bisa jadi alat belajar, tapi tanpa pengawasan, anak gampang teralih ke game atau medsos. Coba atur aplikasi yang boleh dipakai dan batasi waktu penggunaan. Juga, pastikan dia punya waktu buat aktivitas lain biar nggak cuma fokus ke layar.;0.9332;0.4285;0.6864;0.2467
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku ngerasa kesepian kalau nggak buka HP, apa ini aneh?;Nggak aneh, tapi itu bisa jadi tanda kamu terlalu bergantung pada gadget buat ngisi waktu. Gadget memang bisa bikin kita lupa sama lingkungan sekitar, padahal interaksi sosial itu penting. Coba luangkan waktu buat ketemu temen atau keluarga, atau coba hobi baru yang nggak melibatkan layar.;0.8982;0.2948;0.5585;0.3397
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Apa sih literasi digital itu, dan kenapa penting buat anakku?;Literasi digital itu kemampuan buat pakai teknologi dengan bijak dan paham risikonya. Penting banget buat anak supaya mereka tahu cara pakai gadget yang sehat, nggak cuma asal main. Dengan literasi digital, mereka bisa hindari dampak buruk seperti kecanduan atau stres, dan pakai teknologi buat hal yang bermanfaat.;0.9696;0.2009;0.5638;0.4058
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku nggak tahu cara batasi gadget buat anakku, mulai dari mana?;Mulai dari hal sederhana aja. Buat aturan waktu layar, misalnya 1-2 jam sehari, dan pastikan ada waktu buat aktivitas lain seperti main di luar atau baca buku. Juga, coba jadi contoh dengan kurangi pakai gadget di depan anak. Ngobrol sama dia soal pentingnya keseimbangan, biar dia paham.;0.8748;0.4828;0.49;0.3849
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Anakku susah tidur gara-gara main gadget, apa hubungannya?;Iya, ada hubungannya. Cahaya dari layar gadget bisa ganggu pola tidur karena memengaruhi hormon yang atur tidur. Coba stop penggunaan gadget minimal 1 jam sebelum tidur, dan ganti dengan aktivitas santai, seperti baca buku atau ngobrol ringan.;0.5539;0.3876;0.7565;-0.2026
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku suka kasih anakku gadget biar dia nggak rewel, apa itu oke?;Bisa dimengerti, tapi hati-hati, ya. Kasih gadget biar anteng itu cuma solusi sementara, dan kalau kebanyakan, bisa bikin anak susah atur emosi atau kurang interaksi sosial. Coba ganti dengan aktivitas yang menarik buat dia, seperti mainan atau cerita, dan batasi waktu gadgetnya.;0.8734;0.2846;0.5377;0.3357
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku ngerasa stres kalau nggak cek HP setiap saat, apa ini normal?;Itu sebenarnya nggak terlalu normal, lho. Kalau kamu merasa harus cek HP terus, itu bisa jadi tanda ketergantungan. Coba mulai dengan matiin notifikasi atau ninggalin HP di tempat lain pas lagi fokus ke aktivitas lain, biar kamu bisa lebih tenang.;0.6345;0.2833;0.7522;-0.1177
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Apa gadget bikin anakku susah ngomong sama orang lain?;Bisa jadi, lho. Terlalu lama pakai gadget bisa bikin anak kurang latihan interaksi sosial, bahkan memengaruhi perkembangan bahasa. Coba ajak dia ngobrol atau main sama temen sebaya, dan batasi waktu layar supaya dia lebih terhubung sama dunia nyata.;0.76;0.3067;0.7078;0.0522
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku nggak suka batasi gadget anakku, soalnya dia nangis, apa salah?;Bisa dimengerti kalau nggak mau anak nangis, tapi membiarkan tanpa batasan itu riskan. Gadget yang nggak terkontrol bisa ganggu kesehatan mental dan fisik anak, seperti kecemasan atau kurang gerak. Coba buat aturan perlahan, dan ganti waktu gadget dengan aktivitas seru yang dia suka.;0.8883;0.3171;0.5188;0.3695
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Aku merasa gadget bikin hidupku lebih gampang, apa salah kalau aku pakai terus?;Gadget memang bikin hidup lebih gampang, tapi kalau dipakai terus tanpa jeda, bisa bikin masalah, seperti gangguan mata atau kurang interaksi sosial. Coba seimbangkan dengan waktu buat olahraga, ngobrol sama keluarga, atau istirahat tanpa layar, biar kamu tetap sehat.;0.9368;0.3451;0.6431;0.2938
Literature Review Dampak Gadget terhadap Kesehatan Fisik dan Mental Anak1-19;grok;Sekolah anakku nggak ngajarin soal bahaya gadget, apa yang bisa aku lakukan?;Kalau sekolah belum ngajarin, kamu bisa mulai dari rumah. Ajak anak ngobrol soal efek buruk gadget, seperti gangguan kesehatan atau kurang fokus. Kamu juga bisa cari sumber edukasi online tentang literasi digital dan ajak anak belajar bareng. Kalau memungkinkan, diskusi sama guru buat masukin topik ini ke pelajaran.;0.8966;0.3815;0.5736;0.3229
