question;answer;from;filename;document_preprocessed;Topic;Probability;Top_n_words;Name;Document
Apa itu memvalidasi pikiran sendiri?;"Cek data yang mendukung dan yang menolak keyakinanmu. Jika kalimat ""Aku pasti gagal"" tidak punya bukti kuat, ubah jadi versi lebih realistis. Latihan ini menyehatkan dialog internal.";GPT;A1_GPT_EmotionalFirstAid23-45_50.json;memvalidasi sendiri data dukung tolak yakin gagal bukti kuat ubah versi realistis sehat dialog internal;-1;0.3356447652749995;outlier;-1_diri_takut_sendiri_kecil;memvalidasi sendiri data dukung tolak yakin gagal bukti kuat ubah versi realistis sehat dialog internal
Kenapa aku malas mencoba lagi setelah jatuh?;"Kegagalan menciptakan ilusi ""hasilnya pasti sama"". Tulis dua alternatif strategi konkret; fakta baru ini mematahkan ilusi dan memancing aksi.";GPT;A1_GPT_EmotionalFirstAid23-45_50.json;malas jatuh gagal cipta ilusi hasil alternatif strategi konkret fakta patah ilusi pancing aksi;-1;0.2117522254036453;outlier;-1_diri_takut_sendiri_kecil;malas jatuh gagal cipta ilusi hasil alternatif strategi konkret fakta patah ilusi pancing aksi
Bagaimana cara efektif meminta bantuan?;"Ungkap kebutuhan spesifik: ""Aku butuh teman brainstorming 30 menit soal rencana ulang."" Riset Heidi Grant Halvorson menunjukkan permintaan rinci lebih sering dipenuhi.";GPT;A1_GPT_EmotionalFirstAid23-45_50.json;efektif minta ungkap butuh spesifik butuh teman brainstorming rencana ulang riset heidi grant halvorson tunjuk minta rinci penuh;-1;0.0926906188905661;outlier;-1_diri_takut_sendiri_kecil;efektif minta ungkap butuh spesifik butuh teman brainstorming rencana ulang riset heidi grant halvorson tunjuk minta rinci penuh
Apa saja contoh faktor yang bisa kukendalikan?;Jumlah waktu belajar harian, mentor yang dihubungi, dan target mingguan—semua di tanganmu. Mengutak-atik hal ini lebih efektif ketimbang meratapi penilaian orang.;GPT;A1_GPT_EmotionalFirstAid23-45_50.json;contoh faktor kendali jumlah mentor target minggu tangan kutak atik efektif ketimbang ratap nilai;-1;0.1038771551024791;outlier;-1_diri_takut_sendiri_kecil;contoh faktor kendali jumlah mentor target minggu tangan kutak atik efektif ketimbang ratap nilai
Bagaimana memecah tujuan besar agar realistis?;Gunakan metode SMART-ER (Specific, Measurable, Achievable, Relevant, Time-bound, Evaluated, Rewarded). Setiap sub-target punya tenggat dan hadiah kecil ketika tercapai.;GPT;A1_GPT_EmotionalFirstAid23-45_50.json;pecah tuju realistis metode smart specific measurable achievable relevant time bound evaluated rewarded target tenggat hadiah kecil capai;-1;0.6190577750752285;outlier;-1_diri_takut_sendiri_kecil;pecah tuju realistis metode smart specific measurable achievable relevant time bound evaluated rewarded target tenggat hadiah kecil capai
Kenapa tertawa membantu setelah gagal?;Tawa menurunkan hormon stres dan mengaktifkan sistem dopamin reward. Viktor Frankl bahkan memasukkan humor sebagai strategi bertahan mental.;GPT;A1_GPT_EmotionalFirstAid23-45_50.json;tertawa gagal tawa turun hormon stres dopamin reward viktor frankl bahkan masuk humor strategi tahan mental;-1;0.3620472968772036;outlier;-1_diri_takut_sendiri_kecil;tertawa gagal tawa turun hormon stres dopamin reward viktor frankl bahkan masuk humor strategi tahan mental
Latihan apa yang efektif meningkatkan self-control?;Meditasi mindfulness 10 menit per hari terbukti mempertebal gray matter di prefrontal cortex, menurut penelitian Sara Lazar.;GPT;A1_GPT_EmotionalFirstAid23-45_50.json;efektif tingkat self control meditasi mindfulness bukti tebal gray matter prefrontal cortex turut sara lazar;-1;0.1673472146747249;outlier;-1_diri_takut_sendiri_kecil;efektif tingkat self control meditasi mindfulness bukti tebal gray matter prefrontal cortex turut sara lazar
Mengapa sukses tidak selalu wajib?;Tujuan hidup bisa berupa pertumbuhan, relasi, dan kontribusi—tak selalu terwakili angka sukses konvensional. Carol Dweck menekankan pentingnya growth mindset.;GPT;A1_GPT_EmotionalFirstAid23-45_50.json;sukses wajib tuju hidup tumbuh relasi kontribusi wakil angka sukses konvensional carol dweck tekan penting growth mindset;-1;0.3787354859668517;outlier;-1_diri_takut_sendiri_kecil;sukses wajib tuju hidup tumbuh relasi kontribusi wakil angka sukses konvensional carol dweck tekan penting growth mindset
Kenapa sukses terasa lebih nikmat setelah jatuh?;Kontras pengalaman memicu pelepasan dopamin lebih besar saat target tercapai, membuat kemenangan terasa benar-benar earned.;GPT;A1_GPT_EmotionalFirstAid23-45_50.json;sukses nikmat jatuh kontras alam picu lepas dopamin target capai menang earned;-1;0.0868109615284464;outlier;-1_diri_takut_sendiri_kecil;sukses nikmat jatuh kontras alam picu lepas dopamin target capai menang earned
Bagaimana belajar kendali diri dari orang lain?;Cari role model yang pernah menghadapi situasi serupa, pelajari strateginya, lalu adaptasi. Observational learning ala Albert Bandura efektif dan hemat waktu.;GPT;A1_GPT_EmotionalFirstAid23-45_50.json;kendali diri role model hadap situasi rupa strategi adaptasi observational learning albert bandura efektif hemat;-1;0.3774194061193615;outlier;-1_diri_takut_sendiri_kecil;kendali diri role model hadap situasi rupa strategi adaptasi observational learning albert bandura efektif hemat
