file;generator;question;answer;score_entailment;score_neutral;score_contradiction;score_final
Berani tidak disukai x Ichiro Kishimi Dan Fumitake Koga (2019)-108-118;grok;Aku sering merasa hidup ini seperti kompetisi, dan aku harus lebih baik dari orang lain. Apa salahnya sih berpikir begitu?;Hidup memang kadang terasa seperti lomba, tapi kalau kita terus-terusan membandingkan diri dengan orang lain, kita bisa lupa untuk menikmati perjalanan kita sendiri. Bukannya salah, tapi coba bayangkan kalau kamu berjalan di jalan yang rata, tanpa harus mengejar atau mengalahkan siapa pun. Kamu bisa fokus pada langkahmu sendiri, menuju tujuan yang benar-benar penting buatmu. Itu jauh lebih ringan, bukan?;0.9377;0.1336;0.431;0.5067
Berani tidak disukai x Ichiro Kishimi Dan Fumitake Koga (2019)-108-118;grok;Tapi kalau aku nggak membandingkan diri dengan orang lain, dari mana aku tahu aku cukup baik?;Kamu nggak perlu melihat orang lain untuk tahu nilai dirimu. Coba bandingkan dirimu dengan versi terbaik yang kamu bayangkan untuk diri sendiri. Misalnya, apa yang ingin kamu capai atau jadi? Perasaan ‘kurang’ itu sebenarnya bisa jadi dorongan sehat untuk tumbuh, asal kamu fokus pada dirimu sendiri, bukan pada siapa yang ada di depan atau belakangmu.;0.9599;0.2249;0.2941;0.6658
Berani tidak disukai x Ichiro Kishimi Dan Fumitake Koga (2019)-108-118;grok;Aku merasa minder karena aku nggak sehebat temen-temenku. Gimana cara ngatasin perasaan ini?;Perasaan minder itu wajar, tapi coba lihat dari sudut lain. Kamu nggak harus sehebat orang lain, karena setiap orang punya jalan dan kelebihan masing-masing. Kita semua setara, meski beda-beda. Daripada fokus pada apa yang orang lain punya, coba pikirkan apa yang kamu suka lakukan atau apa yang bikin kamu bangga sama dirimu, sekecil apa pun itu. Mulai dari situ, kamu akan merasa lebih ringan.;0.908;0.1915;0.2541;0.6539
Berani tidak disukai x Ichiro Kishimi Dan Fumitake Koga (2019)-108-118;grok;Aku sering merasa orang lain nggak peduli sama aku, kayak aku nggak cukup penting. Apa yang bisa aku lakukan?;Aku tahu rasanya kalau merasa nggak diperhatikan itu berat. Tapi coba pikir, mungkin orang lain juga sedang sibuk dengan dunianya sendiri, bukan berarti mereka nggak peduli. Daripada menunggu perhatian mereka, coba lakukan sesuatu yang bikin kamu merasa berarti, seperti membantu seseorang atau mengerjakan sesuatu yang kamu suka. Kadang, saat kita mulai memberi, kita justru merasa lebih dilihat dan berharga.;0.9039;0.1823;0.2606;0.6433
Berani tidak disukai x Ichiro Kishimi Dan Fumitake Koga (2019)-108-118;grok;Aku punya kakak yang selalu lebih baik dari aku, dan aku selalu dibanding-bandingkan. Aku capek banget. Gimana caranya aku nggak terpengaruh?;Wah, itu pasti berat banget buatmu. Perbandingan seperti itu memang bisa bikin kita merasa nggak cukup. Coba ingat, kamu nggak perlu jadi seperti kakakmu, karena kamu punya nilai unik sebagai dirimu sendiri. Fokus pada apa yang kamu bisa lakukan dan nikmati, meski kecil. Kalau orang lain membandingkan, coba anggap itu suara dari luar yang nggak mendefinisikan siapa kamu. Kamu berharga apa adanya, dan itu cukup.;0.96;0.0842;0.1324;0.8276
Berani tidak disukai x Ichiro Kishimi Dan Fumitake Koga (2019)-108-118;grok;Aku merasa hidupku nggak adil karena aku nggak punya kesempatan yang sama seperti orang lain. Apa yang harus aku pikirkan?;Aku paham, kadang hidup memang terasa nggak adil. Tapi coba lihat, meski perjalanan setiap orang beda, kamu punya kekuatan untuk menciptakan sesuatu dari apa yang kamu miliki sekarang. Daripada fokus pada apa yang nggak kamu punya, coba cari satu langkah kecil yang bisa kamu ambil hari ini untuk mendekati tujuanmu. Setiap langkah itu berarti, dan kamu nggak perlu membandingkannya dengan orang lain.;0.9329;0.1201;0.1992;0.7337
Berani tidak disukai x Ichiro Kishimi Dan Fumitake Koga (2019)-108-118;grok;Aku takut kalau aku nggak bersaing, aku bakal ketinggalan. Apa aku salah mikir gitu?;Wajar kok merasa takut ketinggalan, tapi coba bayangkan: kalau kamu terus berlari untuk mengejar orang lain, kamu bisa kehabisan napas sebelum sampai ke tujuanmu sendiri. Hidup bukan soal siapa yang paling cepat, tapi soal menemukan jalan yang bikin kamu merasa hidup. Kalau kamu fokus pada apa yang benar-benar penting buatmu, kamu nggak akan merasa ketinggalan, karena kamu sedang menjalani ceritamu sendiri.;0.8954;0.1919;0.2461;0.6493
Berani tidak disukai x Ichiro Kishimi Dan Fumitake Koga (2019)-108-118;grok;Aku pengen jadi diri sendiri, tapi susah banget kalau orang-orang di sekitarku terus menilai. Gimana caranya?;Jadi diri sendiri memang nggak gampang, apalagi kalau ada tekanan dari orang lain. Tapi coba mulai dari hal kecil: apa satu hal yang bikin kamu merasa ‘ini aku banget’? Mungkin hobi, cara berpikir, atau sesuatu yang kamu nikmati. Pegang erat itu, dan ingat bahwa penilaian orang lain nggak mendefinisikan kamu. Mereka mungkin cuma melihat sekilas, tapi kamu yang tahu cerita lengkap tentang dirimu.;0.9387;0.1924;0.1813;0.7574
Berani tidak disukai x Ichiro Kishimi Dan Fumitake Koga (2019)-108-118;grok;Aku merasa kesepian karena nggak punya temen di sekolah. Apa yang bisa aku lakukan supaya nggak merasa begini?;Kesepian itu berat, dan aku ikut sedih mendengarnya. Coba mulai dengan sesuatu yang kecil, seperti menyapa seseorang di kelas atau ikut kegiatan yang kamu suka. Kadang, hubungan yang baik dimulai dari langkah sederhana. Juga, coba cari tempat atau aktivitas yang bikin kamu nyaman, seperti perpustakaan atau klub tertentu. Di sana, kamu mungkin bertemu orang yang punya minat sama. Kamu nggak sendirian, dan pasti ada orang yang akan menghargai kehadiranmu.;0.8271;0.3085;0.2403;0.5868
Berani tidak disukai x Ichiro Kishimi Dan Fumitake Koga (2019)-108-118;grok;Aku merasa nggak punya apa-apa dibandingkan temenku yang sukses. Gimana caranya aku nggak terjebak di pikiran ini?;Pikiran itu bisa bikin kita stuck, ya. Coba alihkan fokus ke apa yang sudah kamu capai, sekecil apa pun. Mungkin kamu pernah membantu seseorang, menyelesaikan sesuatu, atau sekadar bertahan di hari yang berat—itu semua berarti. Sukses orang lain bukan berarti kamu gagal. Kamu punya cerita sendiri, dan setiap langkah yang kamu ambil adalah bagian dari perjalanan yang berharga.;0.8876;0.2265;0.416;0.4716
