question;answer;from;filename;document_preprocessed;Topic;Probability;Top_n_words;Name;Document
Apakah satu sesi yoga singkat bisa membantu fokus saya?;Bisa. Penelitian menunjukkan sesi yoga sekitar 20 menit dapat meningkatkan kemampuan fokus dan mempertahankan informasi baru. Jadi, sesi singkat juga memberi manfaat nyata.;GPT;D13_GPT_BrainPower35-45_20.json;sesi yoga singkat tunjuk sesi yoga tingkat mampu tahan sesi singkat beri manfaat nyata;-1;0.6842055292908882;outlier;-1_kecil_diri_sendiri_hidup;sesi yoga singkat tunjuk sesi yoga tingkat mampu tahan sesi singkat beri manfaat nyata
Bagaimana jika saya alergi bulu?;Pertimbangkan ikan hias atau tanaman yang perlu dirawat. Keduanya memberi rutinitas positif dan rasa ditemani.;GPT;D1_GPT_HealthPsycology152-167_50.json;alergi bulu timbang ikan hias tanam perlu rawat beri positif tani;-1;0.6058982353914452;outlier;-1_kecil_diri_sendiri_hidup;alergi bulu timbang ikan hias tanam perlu rawat beri positif tani
Bagaimana cara melakukan napas diafragma dengan benar?;Letakkan satu tangan di dada, satu di perut. Tarik napas lewat hidung selama 4 hitungan hingga tangan di perut terangkat, tahan 2, buang perlahan melalui mulut 6 hitungan.;GPT;D1_GPT_HealthPsycology250-268_50.json;laku diafragma letak tangan dada perut lewat hidung lama hitung hingga tangan perut angkat tahan buang perlahan mulut hitung;-1;0.6127520371220851;outlier;-1_kecil_diri_sendiri_hidup;laku diafragma letak tangan dada perut lewat hidung lama hitung hingga tangan perut angkat tahan buang perlahan mulut hitung
Berapa lama sebaiknya berjemur setiap hari?;Sekitar 10‑15 menit antara pukul 07‑09 dengan lengan terbuka tanpa tabir surya. Konsultasikan dokter bila kulit sensitif atau konsumsi obat tertentu.;GPT;D1_GPT_HealthPsycology250-268_50.json;berapa lama jemur pukul lengan tabir surya konsultasi dokter bila kulit sensitif konsumsi obat;-1;0.4568479635440246;outlier;-1_kecil_diri_sendiri_hidup;berapa lama jemur pukul lengan tabir surya konsultasi dokter bila kulit sensitif konsumsi obat
Saya sering lupa minum. Tips agar tetap terhidrasi?;Gunakan botol 1 liter berpenanda waktu. Setiap tanda waktunya terlewati, jadikan alarm minum. Tambah irisan buah untuk rasa segar.;GPT;D1_GPT_HealthPsycology250-268_50.json;lupa tips tetap hidrasi botol liter lewat alarm tambah iris segar;-1;0.5619582105991179;outlier;-1_kecil_diri_sendiri_hidup;lupa tips tetap hidrasi botol liter lewat alarm tambah iris segar
Bagaimana membangun kembali harga diri setelah gagal?;Mulai dari kemenangan mikro—tugas 5-10 menit tiap hari. Albert Bandura menyebutnya mastery experience yang perlahan memperbaiki citra diri.;GPT;A1_GPT_EmotionalFirstAid23-45_50.json;harga diri gagal menang mikro tugas albert bandura sebut mastery experience perlahan citra diri;-1;0.3025449742564188;outlier;-1_kecil_diri_sendiri_hidup;harga diri gagal menang mikro tugas albert bandura sebut mastery experience perlahan citra diri
Apa itu pacing dan bagaimana melakukannya?;Bagi kegiatan besar menjadi sesi singkat dengan jeda istirahat terjadwal. Tujuannya mencegah flare-up dan menjaga produktivitas stabil.;GPT;D1_GPT_HealthPsycology209-229_50.json;pacing laku giat sesi singkat jeda istirahat jadwal tuju cegah flare jaga produktivitas stabil;-1;0.6646380791112755;outlier;-1_kecil_diri_sendiri_hidup;pacing laku giat sesi singkat jeda istirahat jadwal tuju cegah flare jaga produktivitas stabil
Kadang aku merasa aku lebih baik dari orang lain. Ini buruk nggak sih?;Hmm, perasaan itu bisa muncul, tapi kalau dibiarkan, bisa bikin kamu menjauh dari orang lain. Coba lihat kelebihan orang di sekitarmu, apa yang bisa kamu pelajari dari mereka? Mengakui nilai orang lain nggak bikin kamu kecil, justru bikin kamu lebih bijaksana.;GROK;D9_GROK_EgoIsTheEnemy25-36_20.json;muncul jauh nilai kecil justru bijaksana;-1;0.2455123191319079;outlier;-1_kecil_diri_sendiri_hidup;muncul jauh nilai kecil justru bijaksana
Apa bedanya cross-sectional sama longitudinal? Mana yang lebih baik?;Cross-sectional itu cek orang di satu waktu, kayak foto. Longitudinal cek orang sama berulang-ulang, kayak video. Cross-sectional lebih gampang dan cepet, tapi longitudinal bisa lihat perubahan dari waktu ke waktu, misalnya mood kamu. Mana yang lebih baik tergantung pertanyaannya. Buat terapi, keduanya bantu psikolog ngerti kamu. Apa yang lagi bikin penasaran soal penelitian? Ceritain, yuk.;GROK;D2_GROK_DrAndrewClinicalPsychology131-148_47.json;cross sectional longitudinal cross sectional longitudinal ulang ulang cross sectional gampang cepet longitudinal ubah mood terapi psikolog penasaran;-1;0.3632957512744421;outlier;-1_kecil_diri_sendiri_hidup;cross sectional longitudinal cross sectional longitudinal ulang ulang cross sectional gampang cepet longitudinal ubah mood terapi psikolog penasaran
Aku sering ngemil saat stres. Ada kaitan dengan tahap oral?;Mungkin. Cobalah alihkan dengan menyesap air hangat atau tarik napas dalam, memberi rasa ‘diperhatikan’ tanpa kalori berlebih.;GPT;A1_GPT_PsikologiKepribadian14-33_50.json;ngemil stres kait tahap oral sesap hangat beri perhati kalori;-1;0.3155803203552322;outlier;-1_kecil_diri_sendiri_hidup;ngemil stres kait tahap oral sesap hangat beri perhati kalori
