file;generator;question;answer;score_entailment;score_neutral;score_contradiction;score_final
Brain Power -101-111;gpt;Aku merasa sulit untuk percaya pada orang lain setelah dikhianati. Apa itu wajar?;Aku bisa merasakan betapa beratnya perasaanmu setelah dikhianati. Tidak mudah untuk kembali percaya pada orang lain. Tubuh kita sebenarnya punya hormon bernama oksitosin yang mendukung rasa percaya dan empati, tapi memang luka batin butuh waktu untuk pulih. Jangan dipaksa merasa baik-baik saja. Kamu bisa mulai dengan langkah kecil, seperti membangun kepercayaan lewat hal-hal sederhana dengan orang yang benar-benar mendukungmu.;0.8484;0.2177;0.5613;0.2871
Brain Power -101-111;gpt;Aku sering merasa kalau aku terlalu berlebihan dalam banyak hal, entah makan manis, kopi, atau main medsos. Aku bingung bagaimana cara menyeimbangkannya.;Itu hal yang banyak orang rasakan. Kita memang cenderung ingin lebih dari sesuatu yang membuat kita merasa enak. Tapi, kalau terlalu banyak justru bisa bikin lelah dan kehilangan fokus. Mungkin kamu bisa coba pendekatan moderasi: tidak harus berhenti total, tapi mulai mengenali batas yang sehat buatmu. Misalnya, kalau kopi bikin segar satu cangkir, cukupkan di situ. Kalau medsos bikin kepikiran, coba atur waktunya. Yang penting bukan menyiksa diri, tapi menemukan keseimbangan yang nyaman.;0.8166;0.1727;0.3282;0.4885
Brain Power -101-111;gpt;Aku merasa hidupku monoton, rasanya kosong. Aku nggak tahu harus mulai dari mana untuk bikin hari-hariku lebih bermakna.;Aku paham, perasaan monoton bisa bikin hidup terasa hambar. Kadang yang kamu butuhkan adalah kegiatan yang benar-benar bisa menyalakan kembali semangatmu. Punya hobi bisa sangat membantu, entah melukis, main musik, atau sekadar main puzzle. Hobi bukan sekadar mengisi waktu, tapi juga bisa melatih otak, menghadirkan rasa puas, dan memberi warna dalam keseharianmu.;0.7349;0.3149;0.7525;-0.0176
Brain Power -101-111;gpt;Aku sering merasa sedih tiba-tiba, tapi sulit mengalihkan pikiran. Ada cara sederhana buat memperbaikinya?;Perasaan sedih yang datang tiba-tiba itu nyata dan valid. Kadang otak kita butuh sesuatu yang ringan tapi menstimulasi. Game trivia bisa jadi pilihan. Saat kamu berusaha mengingat jawaban, otakmu bekerja dan ada rasa puas ketika berhasil menjawab. Itu bisa memicu dopamin, zat kimia yang bikin mood sedikit terangkat. Kamu tidak harus jadi ahli, cukup main santai, bahkan sendirian pun bisa bermanfaat.;0.8937;0.2342;0.4688;0.4248
Brain Power -101-111;gpt;Akhir-akhir ini aku gampang stres. Rasanya nggak tenang, bahkan di rumah.;Itu melelahkan, ya. Salah satu cara yang bisa membantu adalah meluangkan waktu dengan hewan peliharaan, kalau kamu punya. Sekadar mengelus kucing, bermain dengan anjing, atau bahkan melihat ikan di akuarium bisa menenangkan otak. Kalau tidak punya, kadang menonton video hewan juga bisa sedikit meredakan tegang. Intinya, beri ruang kecil untuk tubuhmu merasa rileks tanpa tuntutan.;0.7132;0.2828;0.4439;0.2693
Brain Power -101-111;gpt;Aku ingin olahraga, tapi tubuhku gampang capek dan aku nggak bisa ikut olahraga berat.;Aku mengerti. Tidak semua olahraga harus keras dan melelahkan. Ada latihan bernama tai chi, gerakannya pelan dan mengalir, tapi tetap menyehatkan. Penelitian menunjukkan tai chi bisa bantu meredakan stres, kecemasan, bahkan memperbaiki daya ingat. Kalau olahraga berat bikin kamu kewalahan, coba mulai dari gerakan lembut seperti ini. Yang penting bukan seberapa kuat, tapi seberapa konsisten kamu melakukannya.;0.8733;0.1862;0.61;0.2633
Brain Power -101-111;gpt;Aku merasa otakku makin lambat, gampang lupa, dan sulit fokus. Apa itu berarti aku mulai sakit?;Tidak selalu berarti ada penyakit serius. Kadang otak kita hanya kurang dilatih. Sama seperti otot, otak juga butuh latihan rutin. Coba tantang dirimu dengan hal-hal baru: membaca buku yang agak rumit, menyelesaikan puzzle, atau belajar keterampilan baru. Bukan untuk jadi sempurna, tapi supaya otak tetap terstimulasi. Kalau gejalanya semakin berat, tetap baik untuk diskusi dengan tenaga medis ya.;0.7892;0.2701;0.2895;0.4997
Brain Power -101-111;gpt;Aku sering sakit kepala migrain. Rasanya mengganggu banget sampai aku takut itu merusak otak.;Aku bisa bayangkan betapa beratnya hidup dengan migrain. Memang, migrain bisa berdampak pada struktur otak kalau dibiarkan. Penting sekali untuk bicara dengan dokter soal penanganannya dan mencoba mengenali pemicu seperti stres atau alergi. Ada beberapa suplemen yang bisa membantu, tapi tetap harus dengan arahan medis. Jangan anggap remeh migrainmu, tubuhmu sedang bilang ada yang perlu diperhatikan.;0.9215;0.1557;0.4409;0.4806
Brain Power -101-111;gpt;Aku merasa gampang cemas tentang kesehatan. Apa aku harus konsumsi suplemen biar lebih tenang?;Kecemasan soal kesehatan itu wajar, tapi kadang bikin kita makin tegang. Salah satu nutrisi yang baik untuk otak adalah selenium, karena bisa membantu melindungi dari kerusakan. Tapi, terlalu banyak juga bisa berbahaya. Jadi, yang terbaik adalah menjaga pola makan seimbang: sayuran, biji-bijian, dan makanan sehat lainnya. Kalau ingin pakai suplemen, sebaiknya konsultasikan dulu dengan tenaga medis agar aman buat tubuhmu.;0.7604;0.2797;0.7142;0.0462
Brain Power -101-111;gpt;Aku sering merasa kosong dan nggak punya semangat. Apa ada aktivitas ringan yang bisa bikin aku lebih hidup?;Rasa kosong itu berat, ya. Kadang kita butuh aktivitas yang sederhana tapi bikin otak aktif sekaligus menyenangkan. Coba bermain ping pong, misalnya. Olahraga ini melatih tubuh, melatih otak, sekaligus seru. Atau kalau kamu lebih suka tenang, membaca novel juga bisa sangat membantu. Membaca memberi otak pengalaman baru, membuka perspektif, dan bisa jadi penghiburan yang dalam. Yang penting, temukan kegiatan yang bisa bikin kamu merasa 'hadir' kembali dalam hidupmu.;0.8587;0.1524;0.5848;0.2739
