question;answer;from;filename;document_preprocessed;Topic;Probability;Top_n_words;Name;Document
Bagaimana tetap dekat dengan teman ketika pikiranku penuh masalah?;Jadwalkan quality time singkat tanpa membahas masalahmu. Fokus mendengar kabar mereka selama 15 menit. Aktivitas ini memecah pola pikir berulang dan menjaga ikatan sosial.;GPT;A1_GPT_EmotionalFirstAid23-45_50.json;tetap dekat teman penuh jadwal quality time singkat bahas dengar kabar lama aktivitas pecah pola ulang jaga ikat sosial;0;1.0;diri - kecil - takut - sendiri - hidup - salah - ngerasa - gagal - laku - kerja;0_diri_kecil_hidup_sendiri;tetap dekat teman penuh jadwal quality time singkat bahas dengar kabar lama aktivitas pecah pola ulang jaga ikat sosial
Contoh reframe kemarahan ketika proyek gagal apa?;"Alih-alih berpikir ""Timku tidak becus"", coba ""Kita semua masih belajar—apa yang bisa ditingkatkan?"". Pergeseran fokus dari menyalahkan ke perbaikan menurunkan tensi konflik.";GPT;A1_GPT_EmotionalFirstAid23-45_50.json;contoh reframe marah proyek gagal becus tingkat geser salah turun tensi konflik;0;1.0;diri - kecil - takut - sendiri - hidup - salah - ngerasa - gagal - laku - kerja;0_diri_kecil_hidup_sendiri;contoh reframe marah proyek gagal becus tingkat geser salah turun tensi konflik
"Bagaimana menyiapkan ""plan B""?";Sebelum mulai, tulis potensi hambatan—misalnya kehabisan dana—dan skenario solusi. Mental rehearsal ini menurunkan kecemasan, kata Gabriele Oettingen.;GPT;A1_GPT_EmotionalFirstAid23-45_50.json;siap plan potensi hambat habis dana skenario solusi mental rehearsal turun cemas kata gabriele oettingen;0;1.0;diri - kecil - takut - sendiri - hidup - salah - ngerasa - gagal - laku - kerja;0_diri_kecil_hidup_sendiri;siap plan potensi hambat habis dana skenario solusi mental rehearsal turun cemas kata gabriele oettingen
Kak, apa artinya kepribadian cuma terlihat lewat hubungan sosial?;Artinya, siapa dirimu benar‑benar tampak ketika kamu berinteraksi—cara berbicara, memberi dukungan, atau merespons konflik. Jadi, memperbaiki relasi otomatis memperkaya kepribadianmu.;GPT;A1_GPT_PsikologiKepribadian102-118_50.json;arti pribadi lewat sosial arti siapa diri tampak interaksi bicara beri dukung respons konflik relasi otomatis kaya pribadi;0;1.0;diri - kecil - takut - sendiri - hidup - salah - ngerasa - gagal - laku - kerja;0_diri_kecil_hidup_sendiri;arti pribadi lewat sosial arti siapa diri tampak interaksi bicara beri dukung respons konflik relasi otomatis kaya pribadi
Apa bedanya teori ini dengan konsep id‑ego‑superego Freud?;"Freud fokus struktur batin; Sullivan fokus pola hubungan. Jadi, jika Freud bertanya ‘apa yang terjadi di dalam dirimu’, Sullivan bertanya ‘apa yang terjadi di antara kita’.";GPT;A1_GPT_PsikologiKepribadian102-118_50.json;teori konsep superego freud freud struktur batin sullivan pola freud diri sullivan;0;1.0;diri - kecil - takut - sendiri - hidup - salah - ngerasa - gagal - laku - kerja;0_diri_kecil_hidup_sendiri;teori konsep superego freud freud struktur batin sullivan pola freud diri sullivan
Mengapa saat panik logika hilang?;Panik memutus akses korteks logis. Redakan fisiologis dulu—minum air, atur napas—baru ajak diri berpikir rasional kembali.;GPT;A1_GPT_PsikologiKepribadian102-118_50.json;panik logika hilang panik putus akses korteks logis reda fisiologis atur diri rasional;0;1.0;diri - kecil - takut - sendiri - hidup - salah - ngerasa - gagal - laku - kerja;0_diri_kecil_hidup_sendiri;panik logika hilang panik putus akses korteks logis reda fisiologis atur diri rasional
Anak saya belum punya sahabat dekat. Haruskah khawatir?;Dukung ia coba klub minat dan atur playdate kecil. Kesempatan bertemu teman seru menumbuhkan chumship secara alami.;GPT;A1_GPT_PsikologiKepribadian102-118_50.json;anak sahabat dekat khawatir dukung klub atur playdate kecil sempat teman seru tumbuh chumship alami;0;1.0;diri - kecil - takut - sendiri - hidup - salah - ngerasa - gagal - laku - kerja;0_diri_kecil_hidup_sendiri;anak sahabat dekat khawatir dukung klub atur playdate kecil sempat teman seru tumbuh chumship alami
Apa indikator aku telah ‘dewasa’ secara interpersonal?;Kamu bisa berkolaborasi adil, menikmati kedekatan tanpa takut ditinggal, dan mengekspresikan kebutuhan dengan jelas.;GPT;A1_GPT_PsikologiKepribadian102-118_50.json;indikator dewasa interpersonal kolaborasi adil nikmat dekat takut tinggal ekspresi butuh jelas;0;1.0;diri - kecil - takut - sendiri - hidup - salah - ngerasa - gagal - laku - kerja;0_diri_kecil_hidup_sendiri;indikator dewasa interpersonal kolaborasi adil nikmat dekat takut tinggal ekspresi butuh jelas
Apa sebenarnya kepribadian itu, Kak?;Kepribadian ibarat sidik jari psikologismu—pola khas pikiran, perasaan, dan tindakan yang menemanimu di berbagai situasi. Memahaminya membantumu mengenali kekuatan dan area yang ingin ditumbuhkan.;GPT;A1_GPT_PsikologiKepribadian14-33_50.json;pribadi pribadi ibarat sidik jari psikologis pola khas tindak teman situasi paham nali kuat area tumbuh;0;1.0;diri - kecil - takut - sendiri - hidup - salah - ngerasa - gagal - laku - kerja;0_diri_kecil_hidup_sendiri;pribadi pribadi ibarat sidik jari psikologis pola khas tindak teman situasi paham nali kuat area tumbuh
Kalau kepribadian konsisten, apa aku masih bisa berubah jadi pribadi lebih percaya diri?;Bisa banget! Pikirkan kepribadian seperti otot: ada bentuk dasarnya, tapi latihan tepat bisa memperkuat area tertentu. Konsistensi bukan berarti kaku, melainkan fondasi tempatmu bertumbuh.;GPT;A1_GPT_PsikologiKepribadian14-33_50.json;pribadi konsisten ubah pribadi percaya diri pribadi bentuk tepat kuat area konsistensi bukan arti kaku fondasi tempat tumbuh;0;1.0;diri - kecil - takut - sendiri - hidup - salah - ngerasa - gagal - laku - kerja;0_diri_kecil_hidup_sendiri;pribadi konsisten ubah pribadi percaya diri pribadi bentuk tepat kuat area konsistensi bukan arti kaku fondasi tempat tumbuh
