file;generator;question;answer;score_entailment;score_neutral;score_contradiction;score_final
Hidup Damai Tanpa Berpikir Berlebihan x Tsuneko Nakamura dan Hiromi Okuda (2021)-107-118;grok;Aku merasa tertekan banget kalau kerjaan menumpuk, apa yang harus aku lakukan?;Wajar kok merasa tertekan kalau kerjaan numpuk. Coba ambil napas dalam-dalam dulu, lalu urutkan tugas dari yang paling penting. Lakukan satu per satu, dan kalau merasa nggak sanggup, nggak apa-apa minta bantuan. Prioritaskan kesehatanmu juga, ya, pastikan cukup istirahat.;0.8699;0.2814;0.2496;0.6203
Hidup Damai Tanpa Berpikir Berlebihan x Tsuneko Nakamura dan Hiromi Okuda (2021)-107-118;grok;Kadang aku ragu bisa nggak ya ngerjain tugas yang berat, apa sih cara ngatasin keraguan ini?;Ragu itu manusiawi banget. Coba aja dulu, anggap sebagai percobaan. Kalau ternyata nggak bisa, nggak apa-apa, cari solusi lain atau minta bantuan. Yang penting, jangan terlalu keras sama diri sendiri, oke?;0.799;0.2718;0.4013;0.3977
Hidup Damai Tanpa Berpikir Berlebihan x Tsuneko Nakamura dan Hiromi Okuda (2021)-107-118;grok;Aku takut gagal kalau coba sesuatu yang baru, gimana dong?;Takut gagal itu normal, kok. Tapi coba pikir, kalau nggak dicoba, kamu nggak akan tahu hasilnya. Mulai dari langkah kecil, dan ingat, gagal bukan akhir, tapi bagian dari proses belajar.;0.8063;0.3049;0.4347;0.3715
Hidup Damai Tanpa Berpikir Berlebihan x Tsuneko Nakamura dan Hiromi Okuda (2021)-107-118;grok;Aku sering kurang tidur karena kerja, ini buruk nggak sih?;Wah, kurang tidur itu bisa bikin tubuh dan pikiran lelah, lho. Coba atur waktu supaya bisa tidur cukup, minimal 6-8 jam. Kalau kerjaan terlalu banyak, mungkin bisa bicara sama atasan untuk bagi beban. Kesehatanmu nomor satu, ya.;0.7062;0.2959;0.4438;0.2623
Hidup Damai Tanpa Berpikir Berlebihan x Tsuneko Nakamura dan Hiromi Okuda (2021)-107-118;grok;Aku pengen kerja keras terus biar dianggap hebat, tapi capek banget. Salah nggak sih?;Nggak salah pengen berprestasi, tapi kalau sampai bikin capek berlebihan, itu tanda kamu perlu istirahat. Nggak perlu membuktikan apa-apa ke orang lain, yang penting kamu sehat dan bahagia. Coba kasih waktu buat diri sendiri, ya.;0.7865;0.2849;0.4542;0.3324
Hidup Damai Tanpa Berpikir Berlebihan x Tsuneko Nakamura dan Hiromi Okuda (2021)-107-118;grok;Aku merasa nggak cukup baik dibandingkan orang lain di kantor, apa yang salah?;Perasaan nggak cukup baik itu sering muncul, tapi coba lihat, kamu pasti punya kelebihan sendiri. Bandingin diri sama orang lain cuma bikin stres. Fokus aja sama usahamu, dan kalau perlu, bicarain sama temen atau atasan buat dukungan.;0.8437;0.2451;0.2476;0.5961
Hidup Damai Tanpa Berpikir Berlebihan x Tsuneko Nakamura dan Hiromi Okuda (2021)-107-118;grok;Kalau aku tolak tugas karena merasa nggak mampu, apa aku lemah?;Nggak sama sekali! Menolak tugas karena tahu batas kemampuan itu justru bijaksana. Itu artinya kamu peduli sama kualitas kerja dan kesehatanmu. Mungkin coba diskusi sama atasan buat solusi yang lebih pas.;0.7836;0.2843;0.3596;0.4239
Hidup Damai Tanpa Berpikir Berlebihan x Tsuneko Nakamura dan Hiromi Okuda (2021)-107-118;grok;Aku susah makan teratur karena sibuk, apa dampaknya serius?;Iya, makan nggak teratur bisa bikin tubuh lemas dan susah fokus. Coba siapkan makanan sederhana atau camilan sehat yang gampang dibawa. Dengarkan tubuhmu, makan secukupnya biar energimu stabil.;0.7692;0.2494;0.5193;0.2499
Hidup Damai Tanpa Berpikir Berlebihan x Tsuneko Nakamura dan Hiromi Okuda (2021)-107-118;grok;Aku pengen sempurna di kerjaan dan keluarga, tapi selalu gagal. Aku salah apa?;Pengen sempurna itu wajar, tapi nggak realistis. Nggak apa-apa kalau nggak sempurna, yang penting kamu berusaha seimbang. Coba fokus pada apa yang bisa kamu lakukan hari ini, dan jangan terlalu keras sama diri sendiri.;0.9122;0.2771;0.276;0.6362
Hidup Damai Tanpa Berpikir Berlebihan x Tsuneko Nakamura dan Hiromi Okuda (2021)-107-118;grok;Aku merasa bersalah kalau ninggalin anak demi kerja, apa aku ibu yang buruk?;Perasaan bersalah itu menunjukkan kamu peduli banget sama anakmu. Tapi bekerja juga bagian dari kasih sayang, lho, buat kasih mereka kehidupan yang baik. Coba cari waktu khusus buat anak, meski sebentar, biar kalian tetap dekat.;0.8729;0.3133;0.26;0.6129
