"question";"answer";"from";"source";"folder"
"Aku merasa tertekan banget kalau kerjaan menumpuk, apa yang harus aku lakukan?";"Wajar kok merasa tertekan kalau kerjaan numpuk. Coba ambil napas dalam-dalam dulu, lalu urutkan tugas dari yang paling penting. Lakukan satu per satu, dan kalau merasa nggak sanggup, nggak apa-apa minta bantuan. Prioritaskan kesehatanmu juga, ya, pastikan cukup istirahat.";"GROK";"D10_GROK_HidupDamaiTanpaBerpikirBerlebihan107-118_20";"idn-ocr"
"Kadang aku ragu bisa nggak ya ngerjain tugas yang berat, apa sih cara ngatasin keraguan ini?";"Ragu itu manusiawi banget. Coba aja dulu, anggap sebagai percobaan. Kalau ternyata nggak bisa, nggak apa-apa, cari solusi lain atau minta bantuan. Yang penting, jangan terlalu keras sama diri sendiri, oke?";"GROK";"D10_GROK_HidupDamaiTanpaBerpikirBerlebihan107-118_20";"idn-ocr"
"Aku takut gagal kalau coba sesuatu yang baru, gimana dong?";"Takut gagal itu normal, kok. Tapi coba pikir, kalau nggak dicoba, kamu nggak akan tahu hasilnya. Mulai dari langkah kecil, dan ingat, gagal bukan akhir, tapi bagian dari proses belajar.";"GROK";"D10_GROK_HidupDamaiTanpaBerpikirBerlebihan107-118_20";"idn-ocr"
"Aku sering kurang tidur karena kerja, ini buruk nggak sih?";"Wah, kurang tidur itu bisa bikin tubuh dan pikiran lelah, lho. Coba atur waktu supaya bisa tidur cukup, minimal 6-8 jam. Kalau kerjaan terlalu banyak, mungkin bisa bicara sama atasan untuk bagi beban. Kesehatanmu nomor satu, ya.";"GROK";"D10_GROK_HidupDamaiTanpaBerpikirBerlebihan107-118_20";"idn-ocr"
"Aku pengen kerja keras terus biar dianggap hebat, tapi capek banget. Salah nggak sih?";"Nggak salah pengen berprestasi, tapi kalau sampai bikin capek berlebihan, itu tanda kamu perlu istirahat. Nggak perlu membuktikan apa-apa ke orang lain, yang penting kamu sehat dan bahagia. Coba kasih waktu buat diri sendiri, ya.";"GROK";"D10_GROK_HidupDamaiTanpaBerpikirBerlebihan107-118_20";"idn-ocr"
"Aku merasa nggak cukup baik dibandingkan orang lain di kantor, apa yang salah?";"Perasaan nggak cukup baik itu sering muncul, tapi coba lihat, kamu pasti punya kelebihan sendiri. Bandingin diri sama orang lain cuma bikin stres. Fokus aja sama usahamu, dan kalau perlu, bicarain sama temen atau atasan buat dukungan.";"GROK";"D10_GROK_HidupDamaiTanpaBerpikirBerlebihan107-118_20";"idn-ocr"
"Kalau aku tolak tugas karena merasa nggak mampu, apa aku lemah?";"Nggak sama sekali! Menolak tugas karena tahu batas kemampuan itu justru bijaksana. Itu artinya kamu peduli sama kualitas kerja dan kesehatanmu. Mungkin coba diskusi sama atasan buat solusi yang lebih pas.";"GROK";"D10_GROK_HidupDamaiTanpaBerpikirBerlebihan107-118_20";"idn-ocr"
"Aku susah makan teratur karena sibuk, apa dampaknya serius?";"Iya, makan nggak teratur bisa bikin tubuh lemas dan susah fokus. Coba siapkan makanan sederhana atau camilan sehat yang gampang dibawa. Dengarkan tubuhmu, makan secukupnya biar energimu stabil.";"GROK";"D10_GROK_HidupDamaiTanpaBerpikirBerlebihan107-118_20";"idn-ocr"
"Aku pengen sempurna di kerjaan dan keluarga, tapi selalu gagal. Aku salah apa?";"Pengen sempurna itu wajar, tapi nggak realistis. Nggak apa-apa kalau nggak sempurna, yang penting kamu berusaha seimbang. Coba fokus pada apa yang bisa kamu lakukan hari ini, dan jangan terlalu keras sama diri sendiri.";"GROK";"D10_GROK_HidupDamaiTanpaBerpikirBerlebihan107-118_20";"idn-ocr"
"Aku merasa bersalah kalau ninggalin anak demi kerja, apa aku ibu yang buruk?";"Perasaan bersalah itu menunjukkan kamu peduli banget sama anakmu. Tapi bekerja juga bagian dari kasih sayang, lho, buat kasih mereka kehidupan yang baik. Coba cari waktu khusus buat anak, meski sebentar, biar kalian tetap dekat.";"GROK";"D10_GROK_HidupDamaiTanpaBerpikirBerlebihan107-118_20";"idn-ocr"
