file;generator;question;answer;score_entailment;score_neutral;score_contradiction;score_final
Ego is the Enemy - Ryan Holiday-106-116;grok;Aku merasa terjebak dalam pikiranku sendiri, seperti semua yang aku lakukan cuma tentang diriku. Gimana caranya keluar dari situasi ini?;Wajar kok merasa begitu kadang-kadang. Coba alihkan fokusmu ke dunia sekitar, misalnya dengan membantu orang lain atau memperhatikan hal-hal kecil di lingkunganmu. Itu bisa bantu kamu merasa lebih terhubung dan nggak terlalu tenggelam dalam pikiran sendiri.;0.7371;0.2494;0.3569;0.3803
Ego is the Enemy - Ryan Holiday-106-116;grok;Aku suka membayangkan hidupku seperti di film, tapi kadang itu bikin aku lupa sama kenyataan. Apa yang salah denganku?;Nggak ada yang salah, tapi imajinasi yang kelewat liar bisa bikin kita lupa menjalani hidup yang nyata. Coba luangkan waktu untuk fokus pada momen saat ini, seperti apa yang kamu lihat atau rasakan sekarang, biar kamu lebih grounded.;0.8629;0.2811;0.4102;0.4526
Ego is the Enemy - Ryan Holiday-106-116;grok;Kenapa aku selalu merasa semua orang memperhatikanku? Aku takut salah langkah.;Itu bisa jadi tanda kamu terlalu fokus pada persepsi orang lain. Faktanya, kebanyakan orang sibuk dengan urusan mereka sendiri. Coba lakukan sesuatu yang bikin kamu nyaman tanpa memikirkan penilaian orang, seperti menulis jurnal atau jalan-jalan santai.;0.8734;0.2385;0.3151;0.5583
Ego is the Enemy - Ryan Holiday-106-116;grok;Aku merasa aku harus selalu terlihat sempurna di depan orang lain. Capek banget. Apa yang bisa aku lakukan?;Terus-terusan berusaha terlihat sempurna memang melelahkan. Coba ingat bahwa nggak ada orang yang benar-benar sempurna. Mulai dengan jadi jujur pada diri sendiri tentang apa yang kamu rasakan, dan coba terbuka sedikit sama orang yang kamu percaya.;0.8001;0.196;0.4889;0.3112
Ego is the Enemy - Ryan Holiday-106-116;grok;Aku suka banget pamer di media sosial biar orang kagum. Tapi kok malah merasa kosong?;Pamer buat dapat perhatian memang bisa bikin kita merasa hampa kalau itu cuma topeng. Coba cari kebahagiaan dari dalam, seperti mengejar hobi yang bikin kamu senang tanpa perlu validasi orang lain.;0.8428;0.2201;0.2937;0.5491
Ego is the Enemy - Ryan Holiday-106-116;grok;Kadang aku merasa aku paling hebat, tapi di lain waktu aku merasa nggak berguna. Kenapa gitu?;Itu kayak dua sisi dari ego yang lagi main di pikiranmu. Coba cari keseimbangan dengan fokus pada apa yang kamu lakukan, bukan apa yang kamu pikirkan tentang dirimu. Misalnya, buat daftar kecil tujuan harian dan nikmati prosesnya.;0.8073;0.2099;0.6211;0.1862
Ego is the Enemy - Ryan Holiday-106-116;grok;Aku takut gagal, jadi aku lebih suka nggak coba apa-apa. Gimana caranya berubah?;Takut gagal itu wajar, tapi nggak mencoba sama sekali bikin kamu stuck. Mulai dari langkah kecil, seperti mencoba sesuatu yang nggak terlalu berisiko, dan ingat bahwa gagal itu bagian dari belajar.;0.8494;0.1555;0.3544;0.495
Ego is the Enemy - Ryan Holiday-106-116;grok;Aku merasa hidupku harus kayak cerita di novel, penuh drama. Apa itu buruk?;Membayangkan hidup seperti novel bisa seru, tapi kalau itu bikin kamu nggak menghargai kenyataan, itu bisa menyulitkan. Coba temukan keindahan dalam hal-hal sederhana, seperti ngobrol sama temen atau menikmati kopi pagi.;0.7342;0.2482;0.3445;0.3898
Ego is the Enemy - Ryan Holiday-106-116;grok;Aku suka membandingkan diriku sama orang lain, dan itu bikin aku nggak percaya diri. Apa yang harus aku lakukan?;Membandingkan diri itu kayak jebakan yang bikin kita lupa nilai diri sendiri. Coba tulis tiga hal yang kamu sukai dari dirimu atau yang kamu banggakan, sekecil apa pun. Itu bisa bantu kamu fokus pada dirimu sendiri.;0.9125;0.2459;0.2151;0.6974
Ego is the Enemy - Ryan Holiday-106-116;grok;Aku merasa semua yang aku lakukan harus bikin orang lain kagum. Apa itu salah?;Nggak salah, tapi kalau semua yang kamu lakukan cuma buat orang lain, kamu bisa kehilangan diri sendiri. Coba tanya, apa yang bikin kamu bahagia tanpa perlu pengakuan orang lain? Mulai dari situ.;0.846;0.1862;0.4488;0.3972
Ego is the Enemy - Ryan Holiday-106-116;grok;Aku sering merasa orang lain nggak sebanding denganku. Gimana caranya nggak gitu lagi?;Perasaan itu bisa muncul dari ego yang lagi over. Coba dengarkan cerita orang lain dengan tulus, atau lakukan sesuatu buat mereka tanpa mengharapkan apa-apa. Itu bisa bantu kamu melihat nilai di orang lain.;0.9168;0.1861;0.3322;0.5845
Ego is the Enemy - Ryan Holiday-106-116;grok;Aku suka ngelamun tentang kesuksesan, tapi nggak pernah action. Apa yang salah?;Ngimpi itu bagus, tapi kalau cuma berhenti di lamunan, kamu nggak akan maju. Coba buat satu langkah kecil menuju tujuanmu, seperti riset atau coba sesuatu yang baru, biar lamunanmu jadi kenyataan.;0.7017;0.2556;0.4105;0.2911
