index,question,document,old_topic,new_topic,similarity,reassigned,stage
0,Apa itu memvalidasi pikiran sendiri?,memvalidasi sendiri data dukung tolak yakin gagal bukti kuat ubah versi realistis sehat dialog internal,-1,10,0.70636725,True,high
5,Kenapa tertawa membantu setelah gagal?,tertawa gagal tawa turun hormon stres dopamin reward viktor frankl bahkan masuk humor strategi tahan mental,-1,12,0.75191665,True,high
7,Mengapa sukses tidak selalu wajib?,sukses wajib tuju hidup tumbuh relasi kontribusi wakil angka sukses konvensional carol dweck tekan penting growth mindset,-1,10,0.71873325,True,high
8,Kenapa sukses terasa lebih nikmat setelah jatuh?,sukses nikmat jatuh kontras alam picu lepas dopamin target capai menang earned,-1,2,0.6423751,True,high
9,Bagaimana belajar kendali diri dari orang lain?,kendali diri role model hadap situasi rupa strategi adaptasi observational learning albert bandura efektif hemat,-1,10,0.6738434,True,high
10,Kenapa penting memasang deadline konkret?,penting pasang deadline konkret deadline sense urgency panik hukum parkinson kata kerja kembang sesuai sedia tenggat cegah,-1,0,0.71950614,True,high
11,Aku merasa kesepian di SMP dulu. Apa dampaknya sekarang?,sepi dampak alam remaja bentuk percaya teman luka sembuh intim hangat relasi dewasa lambat,-1,0,0.72835314,True,high
12,Apakah teori ini relevan bagi orang yang juga merasa terasing?,teori relevan asing justru relevan sullivan tunjuk sendiri paham relasi suportif sendiri,-1,10,0.6666921,True,high
13,Aku sering merasa ‘haus pelukan’. Apakah itu kebutuhan interpersonal?,haus peluk butuh interpersonal sentuh hangat reda tegang emosional minta peluk detik percaya hormon oksitosin tenang,-1,0,0.77161974,True,high
14,"Saat dikritik, aku otomatis defensif. Apakah self‑system sedang aktif?",kritik otomatis defensif self sedang betul jeda jenak detail kritik jelas self perlu serang balik,-1,0,0.7070444,True,high
17,Bagaimana mengurangi rasa sepi kronis?,kurang sepi kronis interaksi singkat sapa barista grup positif relasi perlahan,-1,0,0.67079467,True,high
19,Remaja saya bingung soal pergaulan pacaran. Tips menjaga aman?,remaja gaul pacar tips jaga bicara batas fisik emosi dorong aktivitas kelompok akses seks sehat,-1,12,0.6733172,True,high
20,Remaja saya channel energi ke seni. Apakah itu baik?,remaja channel energi seni seni salur emosi eksplorasi identitas edukasi seks siap,-1,10,0.7540946,True,high
25,"Usiaku sudah 40‑an, terlambatkah mengubah sifat perfeksionis berlebihan?",usia lambat ubah sifat perfeksionis lambat otak tetap plastis mindful self compassion arah perfeksionisme standar sehat bukan beban,-1,12,0.72696555,True,high
27,Aku sering merasa ‘gagal’. Bagaimana pendekatan humanistik bisa membantu?,gagal dekat humanistik humanistik diri pribadi nila tumbuh proses bukan sekadar hasil jalan ringan,-1,2,0.66435593,True,high
28,Bagaimana teori‑teori ini relevan untuk karierku?,teori teori relevan karier paham pribadi pilih gaya kerja harmonis kelola stres modal penting raih tuju karier jalan sehat mental,-1,0,0.6920373,True,high
29,Kenapa aku suka impulsif belanja online tengah malam?,impulsif belanja tengah senang cepat tunda klik lama beri ruang nilai barang perlu,-1,3,0.7066747,True,high
31,Aku takut dipecat (kecemasan realistis) dan juga takut mengecewakan orang tua (moral). Cara menanganinya?,takut pecat cemas realistis takut kecewa moral tangan pisah fakta sempurna rencana kerja nyata risiko kantor yakin diri nilai diri prestasi,-1,0,0.7989972,True,high
32,Aku cenderung menganalisis masalah tanpa pernah menangis. Baik atau buruk?,cenderung analis menang analisis emosi perlu ruang sisih tonton film haru tegang tumpuk,-1,0,0.7173737,True,high
33,Mengapa aku panik jika meja kerja berantakan?,panik meja kerja beranta cermin butuh kontrol tahap anal toleransi kacau kecil longgar tegang perfeksionis,-1,10,0.7696645,True,high
35,Aku sulit menolak permintaan teman. Bagaimana belajar assertive?,sulit tolak minta teman assertive singkat maaf ingat kata arti ruang prioritas,-1,0,0.70575684,True,high
36,Berapa lama membentuk kebiasaan optimis?,berapa lama bentuk optimis studi tunjuk rata rata afirmasi pagi syukur evaluasi maju bulan,-1,10,0.63140035,True,high
37,Aku ingin lebih disiplin tapi teman kurang mendukung. Apa solusinya?,disiplin teman kurang dukung solusi tuju rupa dukung sosial selaras nilai kuat tekad jalan ubah,-1,0,0.78809416,True,high
38,Aku sering berpikir ‘semua harus sempurna’. Bagaimana mengubahnya?,sempurna ubah tantang cukup maju ulang turun tekan perfeksionis,-1,5,0.7004665,True,high
40,Self‑care favorit introvert?,self care favorit introvert baca buku kafe tenang jurnal jalan sendiri alam aktivitas sunyi beri nutrisi mental,-1,0,0.7567302,True,high
43,"Aku kesepian dan pengen ketemu orang baru, tapi nggak tahu mulai dari mana. Ada ide?",sepi tahu ngurangin sepi giat sukarela acara donasi buku nilai obrol alir alami grup fotografi masak diskusi interaksi kecil bahkan senyum,-1,0,0.78077674,True,high
46,"Aku cemas tiap buka dompet, takut nggak cukup duit. Gimana caranya biar nggak panik?",cemas dompet takut cukup duit panik dompet tipis emang khawatir panik henti fakta saldo batas atur syukur makan catat keluar sederhana pilih kecil rangin kopi tenang catat keluar sore,-1,0,0.80375856,True,high
