folder,page_range,question_id,question_id_original,question_en,answer_id_original,answer_en,score_5,score_01,feedback,is_hallucinated,source_file
dataset,101-111,1,Aku merasa sulit untuk percaya pada orang lain setelah dikhianati. Apa itu wajar?,I find it hard to trust someone after being betrayed.,"Aku bisa merasakan betapa beratnya perasaanmu setelah dikhianati. Tidak mudah untuk kembali percaya pada orang lain. Tubuh kita sebenarnya punya hormon bernama oksitosin yang mendukung rasa percaya dan empati, tapi memang luka batin butuh waktu untuk pulih. Jangan dipaksa merasa baik-baik saja. Kamu bisa mulai dengan langkah kecil, seperti membangun kepercayaan lewat hal-hal sederhana dengan orang yang benar-benar mendukungmu.","I can feel how hard it is to feel betrayed. It's not easy to trust someone again. Our bodies actually have a hormone called oxytocin that supports confidence and empathy, but it does take time for the inner wound to heal.",5,1.0,"(Chunk 1) The response does not contain any hallucinated or inaccurate information that deviates from the provided document context. It correctly identifies the hormone oxytocin and its role in trust and empathy, which aligns with the context provided. The response also acknowledges the difficulty of trusting someone after being betrayed, which is a relevant and accurate interpretation of the question. Therefore, the response is completely faithful to the context with no hallucinations, and all information is accurately derived from the document.",False,D13_GPT_BrainPower101-111_10.json
dataset,101-111,2,"Aku sering merasa kalau aku terlalu berlebihan dalam banyak hal, entah makan manis, kopi, atau main medsos. Aku bingung bagaimana cara menyeimbangkannya.","I often feel that I'm overreacting in many ways, whether it's eating sweets, coffee, or playing medsos.","Itu hal yang banyak orang rasakan. Kita memang cenderung ingin lebih dari sesuatu yang membuat kita merasa enak. Tapi, kalau terlalu banyak justru bisa bikin lelah dan kehilangan fokus. Mungkin kamu bisa coba pendekatan moderasi: tidak harus berhenti total, tapi mulai mengenali batas yang sehat buatmu. Misalnya, kalau kopi bikin segar satu cangkir, cukupkan di situ. Kalau medsos bikin kepikiran, coba atur waktunya. Yang penting bukan menyiksa diri, tapi menemukan keseimbangan yang nyaman.","That's what most people feel. We tend to want more than just something that makes us feel good. But if too much of it can cause fatigue and loss of focus. So maybe you can try a moderate approach: not to stop completely, but to start recognizing the healthy limits for you. For example, if coffee makes you fresh, just drink it. If meds make you think, try to schedule.",5,1.0,"(Chunk 1) The response does not contain any hallucinated or inaccurate information that deviates from the provided document context. It provides a balanced view on the consumption of coffee and meds, suggesting a moderate approach to avoid negative effects. This advice aligns with the context of the document, which discusses the importance of moderation in maintaining a healthy brain. The response does not introduce any new or unrelated information, and it remains focused on the topic of brain health and the effects of certain substances. Therefore, the response is completely faithful to the context with no hallucinations, and all information is accurately derived from the document.",False,D13_GPT_BrainPower101-111_10.json
dataset,101-111,3,"Aku merasa hidupku monoton, rasanya kosong. Aku nggak tahu harus mulai dari mana untuk bikin hari-hariku lebih bermakna.","I feel like my life is monotonous, empty, I don't know where to start to make my days more meaningful.","Aku paham, perasaan monoton bisa bikin hidup terasa hambar. Kadang yang kamu butuhkan adalah kegiatan yang benar-benar bisa menyalakan kembali semangatmu. Punya hobi bisa sangat membantu, entah melukis, main musik, atau sekadar main puzzle. Hobi bukan sekadar mengisi waktu, tapi juga bisa melatih otak, menghadirkan rasa puas, dan memberi warna dalam keseharianmu.","I understand that monotonous feelings can make life feel dull. Sometimes all you need is activities that can really reignite your spirit. Having a hobby can be very helpful, whether it's painting, playing music, or just playing puzzles.",5,1.0,"(Chunk 1) The response provided does not contain any hallucinated or inaccurate information that deviates from the provided document context. It aligns well with the context by suggesting activities that can reignite the spirit, which is a relevant suggestion given the context of feeling monotonous. The response also maintains a focus on the brain and mental health, which is consistent with the document context. It does not introduce any new or unrelated concepts, and it does not contradict or omit any information from the document context. Therefore, the response is completely faithful to the context with no hallucinations, and all information is accurately derived from the document.",False,D13_GPT_BrainPower101-111_10.json
dataset,101-111,4,"Aku sering merasa sedih tiba-tiba, tapi sulit mengalihkan pikiran. Ada cara sederhana buat memperbaikinya?","I often feel sad suddenly, but it's hard to distract.","Perasaan sedih yang datang tiba-tiba itu nyata dan valid. Kadang otak kita butuh sesuatu yang ringan tapi menstimulasi. Game trivia bisa jadi pilihan. Saat kamu berusaha mengingat jawaban, otakmu bekerja dan ada rasa puas ketika berhasil menjawab. Itu bisa memicu dopamin, zat kimia yang bikin mood sedikit terangkat. Kamu tidak harus jadi ahli, cukup main santai, bahkan sendirian pun bisa bermanfaat.","And the sudden sadness that comes along is real and valid. Sometimes our brains need something light but stimulating. Trivia games can be an option. When you try to remember the answers, your brain works and there's a sense of satisfaction when you do. It can trigger dopamine, a chemical that makes you feel a little more upbeat. You don't have to be an expert, you just play it easy, even alone can be helpful.",5,1.0,"(Chunk 2) The response provided does not contain any hallucinated or inaccurate information that deviates from the provided document context. It correctly identifies the issue of sudden sadness and suggests a practical solution of playing trivia games to stimulate the brain and potentially trigger dopamine. This suggestion aligns with the context of the document, which discusses ways to improve brain health and function. The response also appropriately generalizes the idea of playing trivia games, which is a common and accessible activity for most people. Therefore, the response is completely faithful to the context with no hallucinations, and all information is accurately derived from the document.",False,D13_GPT_BrainPower101-111_10.json
dataset,101-111,5,"Akhir-akhir ini aku gampang stres. Rasanya nggak tenang, bahkan di rumah.","I've been stressed lately, and I'm not comfortable, even at home.","Itu melelahkan, ya. Salah satu cara yang bisa membantu adalah meluangkan waktu dengan hewan peliharaan, kalau kamu punya. Sekadar mengelus kucing, bermain dengan anjing, atau bahkan melihat ikan di akuarium bisa menenangkan otak. Kalau tidak punya, kadang menonton video hewan juga bisa sedikit meredakan tegang. Intinya, beri ruang kecil untuk tubuhmu merasa rileks tanpa tuntutan.","It's exhausting, yes. One way that can help is to spend time with pets, if you have one. Just chasing cats, playing with dogs, or even watching fish in an aquarium can calm your brain. If you don't, sometimes watching animal videos can also ease a little bit of tension.",5,1.0,"(Chunk 1) The response provided does not contain any hallucinated or inaccurate information that deviates from the provided document context. It suggests spending time with pets or watching animal videos as a way to calm the brain, which is a reasonable suggestion based on the context of the document. The response is consistent with the context and does not introduce any new or unrelated information. Therefore, according to the score rubric, the response is completely faithful to the context with no hallucinations, and all information is accurately derived from the document.",False,D13_GPT_BrainPower101-111_10.json
dataset,101-111,6,"Aku ingin olahraga, tapi tubuhku gampang capek dan aku nggak bisa ikut olahraga berat.","I want to exercise, but my body is tired and I can't do heavy sports.","Aku mengerti. Tidak semua olahraga harus keras dan melelahkan. Ada latihan bernama tai chi, gerakannya pelan dan mengalir, tapi tetap menyehatkan. Penelitian menunjukkan tai chi bisa bantu meredakan stres, kecemasan, bahkan memperbaiki daya ingat. Kalau olahraga berat bikin kamu kewalahan, coba mulai dari gerakan lembut seperti ini. Yang penting bukan seberapa kuat, tapi seberapa konsisten kamu melakukannya.","I understand. Not all exercise has to be hard and exhausting. There's an exercise called tai chi, which is slow and flowing, but it's still healthy. Research shows tai chi can help relieve stress, anxiety, even improve memory. If heavy exercise makes you overwhelmed, try starting with a gentle movement like this.",4,0.75,"(Chunk 1) The response provided is mostly consistent with the context of the provided document. It correctly identifies tai chi as a gentle form of exercise and acknowledges its benefits for stress relief, anxiety, and memory improvement. However, the response slightly deviates from the context by not mentioning the specific hormone oxytocin and its role in social behaviors, trust, empathy, and memory support. Additionally, the response does not address the aspect of physical challenges and the potential benefits of hobbies in preventing Alzheimer's and dementia. These omissions represent minor hallucinations or slightly inaccurate interpretations of the context. Therefore, the response is not entirely faithful to the context, but it still provides a relevant and accurate answer to the question. So the overall score is 4.",False,D13_GPT_BrainPower101-111_10.json
dataset,101-111,7,"Aku merasa otakku makin lambat, gampang lupa, dan sulit fokus. Apa itu berarti aku mulai sakit?","I feel my brain is slowing down, I forget, and I have trouble focusing.","Tidak selalu berarti ada penyakit serius. Kadang otak kita hanya kurang dilatih. Sama seperti otot, otak juga butuh latihan rutin. Coba tantang dirimu dengan hal-hal baru: membaca buku yang agak rumit, menyelesaikan puzzle, atau belajar keterampilan baru. Bukan untuk jadi sempurna, tapi supaya otak tetap terstimulasi. Kalau gejalanya semakin berat, tetap baik untuk diskusi dengan tenaga medis ya.","It doesn't always mean there's a serious disease. Sometimes our brain is just undertrained. Just like muscles, the brain needs regular exercise. Try to challenge yourself with something new: reading a rather complicated book, solving puzzles, or learning new skills. Not to be perfect, but to keep the brain stimulated. If the symptoms get worse, it's still good to discuss with the medical staff.",5,1.0,"(Chunk 1) The response provided does not contain any hallucinated or inaccurate information that deviates from the provided document context. It correctly identifies the need for regular brain exercise and suggests practical ways to achieve this, such as reading complex books, solving puzzles, and learning new skills. The response also appropriately advises discussing symptoms with medical staff if they worsen. This advice is consistent with the context of the document, which emphasizes the importance of maintaining a healthy brain through various activities. The response does not introduce any new or unrelated information, nor does it contradict the information provided in the document context. Therefore, the response is completely faithful to the context with no hallucinations, and all information is accurately derived from the document.",False,D13_GPT_BrainPower101-111_10.json
dataset,101-111,8,Aku sering sakit kepala migrain. Rasanya mengganggu banget sampai aku takut itu merusak otak.,"I have a migraine headache, which is so disturbing that I'm afraid it's damaging my brain.","Aku bisa bayangkan betapa beratnya hidup dengan migrain. Memang, migrain bisa berdampak pada struktur otak kalau dibiarkan. Penting sekali untuk bicara dengan dokter soal penanganannya dan mencoba mengenali pemicu seperti stres atau alergi. Ada beberapa suplemen yang bisa membantu, tapi tetap harus dengan arahan medis. Jangan anggap remeh migrainmu, tubuhmu sedang bilang ada yang perlu diperhatikan.","I can imagine how hard it is to live with migraines. Indeed, migraines can affect the structure of the brain if left alone. It's important to talk to your doctor about how to manage them and try to identify triggers like stress or allergies. There are some supplements that can help, but you still have to take them under medical supervision.",4,0.75,"(Chunk 1) The response is mostly consistent with the context, providing a general overview of the impact of migraines on the brain and the importance of medical supervision when considering supplements. However, it contains minor hallucinations, such as the suggestion that migraines can affect the structure of the brain if left alone, which is not explicitly mentioned in the context. Additionally, the response includes a generalization about the need for medical supervision when considering supplements, which is not directly related to the specific context of the provided document. Therefore, while the response is mostly accurate, it does not fully adhere to the context provided.",False,D13_GPT_BrainPower101-111_10.json
dataset,101-111,9,Aku merasa gampang cemas tentang kesehatan. Apa aku harus konsumsi suplemen biar lebih tenang?,"I'm just so worried about my health, should I take a supplement to calm down?","Kecemasan soal kesehatan itu wajar, tapi kadang bikin kita makin tegang. Salah satu nutrisi yang baik untuk otak adalah selenium, karena bisa membantu melindungi dari kerusakan. Tapi, terlalu banyak juga bisa berbahaya. Jadi, yang terbaik adalah menjaga pola makan seimbang: sayuran, biji-bijian, dan makanan sehat lainnya. Kalau ingin pakai suplemen, sebaiknya konsultasikan dulu dengan tenaga medis agar aman buat tubuhmu.","Health concerns are normal, but they can sometimes cause stress. One of the nutrients that is good for the brain is selenium, which can help protect against damage. But too much can also be dangerous. So it's best to keep a balanced diet: vegetables, grains, and other healthy foods. If you want to take supplements, you should consult your health care professional first to make sure your body is safe.",5,1.0,"(Chunk 1) The response provided does not contain any hallucinated or inaccurate information that deviates from the provided document context. It correctly identifies selenium as a nutrient beneficial for brain health and advises on the importance of a balanced diet and consulting a health care professional before taking supplements. The response is consistent with the context and provides accurate information. Therefore, the response is completely faithful to the context with no hallucinations, and all information is accurately derived from the document.",False,D13_GPT_BrainPower101-111_10.json
dataset,101-111,10,Aku sering merasa kosong dan nggak punya semangat. Apa ada aktivitas ringan yang bisa bikin aku lebih hidup?,I often feel empty and unmotivated.,"Rasa kosong itu berat, ya. Kadang kita butuh aktivitas yang sederhana tapi bikin otak aktif sekaligus menyenangkan. Coba bermain ping pong, misalnya. Olahraga ini melatih tubuh, melatih otak, sekaligus seru. Atau kalau kamu lebih suka tenang, membaca novel juga bisa sangat membantu. Membaca memberi otak pengalaman baru, membuka perspektif, dan bisa jadi penghiburan yang dalam. Yang penting, temukan kegiatan yang bisa bikin kamu merasa 'hadir' kembali dalam hidupmu.","Emptiness is hard, yes. Sometimes you need simple activity that makes the brain active and fun. Try playing ping pong, for example. This exercise exercises the body, exercises the brain, and it's exciting. Or if you prefer to be calm, reading novels can also be very helpful. Reading gives the brain new experiences, opens up perspective, and can be a deep comfort. Most importantly, find activities that make you feel ""present"" again in your life.",5,1.0,"(Chunk 2) The response provided does not contain any hallucinated or inaccurate information that deviates from the provided document context. It offers practical advice on how to combat feelings of emptiness and unmotivation, such as engaging in physical activities like playing ping pong or reading novels. These suggestions are relevant and align with the context of the question, which asks for ways to improve brain function and mental well-being. The response does not introduce any new or unrelated information, nor does it contradict the context provided. Therefore, based on the score rubric, the response is completely faithful to the context with no hallucinations, and all information is accurately derived from the document.",False,D13_GPT_BrainPower101-111_10.json
