Tema Besar;Topik;Jumlah;Sub Tema;
Kecemasan dan Keraguan Diri;0;5014;Kecemasan Diri dalam Kehidupan Sosial;diri - sendiri - hidup - kecil - takut - salah - ngerasa - laku - stres - temen
;2;595;Takut Gagal dan Keraguan Diri;gagal - takut - kecil - diri - sendiri - sukses - bukan - salah - ngerasa - hasil
;5;171;Hidup Stuck dan Keinginan Berubah;ubah - kecil - hidup - stuck - diri - salah - laku - sendiri - harap - pilih
;11;160;Takut Gagal dalam Hidup & Kerja;nunda - kecil - kerja - ngerasa - takut - sendiri - tugas - hidup - capek - gagal
Kecemasan Klinis dan Stigma Kesehatan Mental;1;489;Kecemasan terhadap Terapi dan Diagnosis Psikologis;terapi - psikolog - takut - khawatir - tahu - dengerin - diagnosis - ngerasa - klinis - hasil
;4;90;Overthinking;overthinking - henti - capek - overthinking capek - overthinking overthinking - emang capek - overthinking masa - kepala - putar - masa
;7;89;Stigma dan Ketakutan Berobat;takut - dokter - mental - gila - obat - sehat - khawatir - jiwa - tahu - nyaman
;12;160;Hubungan Otak dengan Gangguan Mental;otak - stres - ganggu - mental - depresi - takut - obat - khawatir - skizofrenia - nyeri
Kognitif dan Persepsi;3;196;Kesulitan Memori dan Strategi Belajar;otak - lupa - ingat - ulang - kecil - susah - catat - lama - materi - istirahat
;13;67;Persepsi dan Ilusi;otak - salah - garis - ilusi - takut - arti - pelan - paham - persepsi - alam
Pola Pengasuhan Anak dan Kecemasan Orang Tua;6;161;Pola Pengasuhan Anak dan Kecemasan Orang Tua;anak - salah - takut - kecil - gadget - dukung - sendiri - peduli - main - tahu
Pikiran Obsesif dan Perilaku Kompulsif;8;71;Pikiran Obsesif dan Perilaku Kompulsif;ulang - takut - cuci - kompulsif - ganggu - cemas - tangan - pelan - obsesif - salah
Pengelolaan diri dan Stres ;10;162;Pengelolaan diri dan Stres ;kuesioner - kecil - metode - kerja - diri - singkat - stres - aktivitas - sosial - situasi
Mimpi, Imajinasi, dan Kreativitas;9;49;Mimpi, Imajinasi, dan Kreativitas;mimpi - kreatif - imajinasi - takut - arti - aneh - nyata - diri - kecil - kreativitas
Other;-1;14;Other;
;;7488;;
